tf,ind,thr,mode,sl_atr,tp_atr,sl,tp,n,alpha,z_alpha,net,L,S
M30,zscore_fib_89,2.17,reversion,2.23,2.68,47.9,57.6,1561,-1.76,-1.39,-8394.2,"(823, 44.47, 0.35, np.float64(0.2))","(738, 42.28, -4.1, np.float64(-2.23))"
M30,zscore_fib_89,2.17,reversion,1.53,1.91,32.9,41.1,1734,-1.5,-1.25,-8232.8,"(905, 42.32, -0.91, np.float64(-0.55))","(829, 42.7, -2.14, np.float64(-1.24))"
M30,zscore_fib_89,2.17,continuation,1.87,1.87,40.2,40.2,1666,2.09,1.71,-3407.4,"(787, 53.62, 5.04, np.float64(2.83))","(879, 49.72, -0.55, np.float64(-0.32))"
M30,zscore_fib_89,2.17,continuation,1.87,2.24,40.2,48.2,1616,2.67,2.17,-2139.6,"(763, 50.59, 6.53, np.float64(3.63))","(853, 45.13, -0.78, np.float64(-0.45))"
M30,zscore_fib_89,2.17,continuation,2.23,2.68,47.9,57.6,1524,2.39,1.88,-1330.3,"(722, 49.03, 4.91, np.float64(2.65))","(802, 46.51, 0.13, np.float64(0.08))"
M30,zscore_fib_89,2.17,continuation,1.53,1.91,32.9,41.1,1707,1.73,1.45,-3925.4,"(808, 47.9, 4.66, np.float64(2.68))","(899, 43.94, -0.9, np.float64(-0.54))"
M30,zscore_fib_89,2.63,reversion,1.87,1.87,40.2,40.2,1128,-3.98,-2.67,-7903.2,"(602, 47.67, -0.91, np.float64(-0.45))","(526, 42.78, -7.49, np.float64(-3.43))"
M30,zscore_fib_89,2.63,reversion,1.87,2.24,40.2,48.2,1110,-3.93,-2.63,-8063.0,"(590, 42.54, -1.52, np.float64(-0.74))","(520, 39.23, -6.68, np.float64(-3.06))"
M30,zscore_fib_89,2.63,reversion,2.23,2.68,47.9,57.6,1053,-3.01,-1.96,-7071.6,"(562, 42.53, -1.6, np.float64(-0.76))","(491, 41.75, -4.63, np.float64(-2.06))"
M30,zscore_fib_89,2.63,reversion,1.53,1.91,32.9,41.1,1157,-2.15,-1.47,-6067.4,"(616, 43.34, 0.11, np.float64(0.06))","(541, 40.11, -4.73, np.float64(-2.21))"
M30,zscore_fib_89,2.63,continuation,1.87,1.87,40.2,40.2,1128,3.8,2.56,-747.6,"(526, 56.27, 7.69, np.float64(3.53))","(602, 50.66, 0.4, np.float64(0.2))"
M30,zscore_fib_89,2.63,continuation,1.87,2.24,40.2,48.2,1087,3.07,2.04,-1051.3,"(507, 50.89, 6.83, np.float64(3.1))","(580, 45.69, -0.22, np.float64(-0.11))"
M30,zscore_fib_89,2.63,continuation,2.23,2.68,47.9,57.6,1034,2.84,1.84,-401.8,"(483, 49.48, 5.36, np.float64(2.37))","(551, 47.01, 0.63, np.float64(0.3))"
M30,zscore_fib_89,2.63,continuation,1.53,1.91,32.9,41.1,1136,4.07,2.76,-645.2,"(535, 49.35, 6.11, np.float64(2.85))","(601, 47.09, 2.25, np.float64(1.11))"
M30,zscore_fib_89,3.08,reversion,1.87,1.87,40.2,40.2,728,-4.28,-2.31,-5296.8,"(401, 46.88, -1.7, np.float64(-0.68))","(327, 42.81, -7.45, np.float64(-2.69))"
M30,zscore_fib_89,3.08,reversion,1.87,2.24,40.2,48.2,723,-3.95,-2.14,-5284.1,"(397, 42.32, -1.74, np.float64(-0.7))","(326, 39.26, -6.65, np.float64(-2.41))"
M30,zscore_fib_89,3.08,reversion,2.23,2.68,47.9,57.6,699,-4.93,-2.62,-6123.9,"(386, 41.71, -2.41, np.float64(-0.96))","(313, 38.34, -8.04, np.float64(-2.85))"
M30,zscore_fib_89,3.08,reversion,1.53,1.91,32.9,41.1,737,-2.17,-1.19,-3887.4,"(404, 43.07, -0.16, np.float64(-0.07))","(333, 40.24, -4.6, np.float64(-1.69))"
M30,zscore_fib_89,3.08,continuation,1.87,1.87,40.2,40.2,728,3.79,2.04,-472.8,"(327, 55.35, 6.77, np.float64(2.45))","(401, 51.62, 1.36, np.float64(0.54))"
M30,zscore_fib_89,3.08,continuation,1.87,2.24,40.2,48.2,710,4.78,2.56,408.6,"(319, 51.72, 7.67, np.float64(2.76))","(391, 48.34, 2.43, np.float64(0.96))"
M30,zscore_fib_89,3.08,continuation,2.23,2.68,47.9,57.6,691,5.29,2.79,1516.7,"(312, 51.6, 7.48, np.float64(2.66))","(379, 49.87, 3.49, np.float64(1.36))"
M30,zscore_fib_89,3.08,continuation,1.53,1.91,32.9,41.1,734,3.3,1.8,-818.8,"(332, 46.99, 3.76, np.float64(1.38))","(402, 47.76, 2.92, np.float64(1.18))"
M30,zscore_fib_144,2.17,reversion,1.87,1.87,40.2,40.2,1284,-2.95,-2.12,-7959.1,"(682, 44.43, -4.16, np.float64(-2.17))","(602, 48.67, -1.59, np.float64(-0.78))"
M30,zscore_fib_144,2.17,reversion,1.87,2.24,40.2,48.2,1252,-2.99,-2.13,-8083.5,"(665, 38.95, -5.11, np.float64(-2.65))","(587, 45.32, -0.6, np.float64(-0.29))"
M30,zscore_fib_144,2.17,reversion,2.23,2.68,47.9,57.6,1184,-2.86,-1.97,-7786.8,"(634, 39.91, -4.22, np.float64(-2.14))","(550, 45.09, -1.29, np.float64(-0.6))"
M30,zscore_fib_144,2.17,reversion,1.53,1.91,32.9,41.1,1325,-1.57,-1.16,-6401.4,"(702, 39.74, -3.49, np.float64(-1.87))","(623, 45.43, 0.59, np.float64(0.29))"
M30,zscore_fib_144,2.17,continuation,1.87,1.87,40.2,40.2,1284,3.02,2.16,-1640.9,"(602, 50.83, 2.25, np.float64(1.1))","(682, 53.96, 3.7, np.float64(1.93))"
M30,zscore_fib_144,2.17,continuation,1.87,2.24,40.2,48.2,1242,2.86,2.03,-1405.5,"(582, 46.22, 2.16, np.float64(1.05))","(660, 49.39, 3.48, np.float64(1.8))"
M30,zscore_fib_144,2.17,continuation,2.23,2.68,47.9,57.6,1156,3.2,2.19,-57.1,"(539, 45.83, 1.7, np.float64(0.8))","(617, 50.89, 4.51, np.float64(2.25))"
M30,zscore_fib_144,2.17,continuation,1.53,1.91,32.9,41.1,1318,3.19,2.34,-1593.4,"(624, 46.63, 3.4, np.float64(1.72))","(694, 47.84, 3.0, np.float64(1.59))"
M30,zscore_fib_144,2.63,reversion,1.87,1.87,40.2,40.2,840,-1.34,-0.77,-4138.8,"(475, 50.53, 1.94, np.float64(0.85))","(365, 44.66, -5.61, np.float64(-2.14))"
M30,zscore_fib_144,2.63,reversion,1.87,2.24,40.2,48.2,822,-2.04,-1.17,-4640.2,"(463, 45.57, 1.51, np.float64(0.66))","(359, 39.28, -6.63, np.float64(-2.52))"
M30,zscore_fib_144,2.63,reversion,2.23,2.68,47.9,57.6,777,-2.77,-1.54,-5072.9,"(436, 44.27, 0.14, np.float64(0.06))","(341, 39.88, -6.49, np.float64(-2.4))"
M30,zscore_fib_144,2.63,reversion,1.53,1.91,32.9,41.1,862,-0.54,-0.32,-3528.4,"(487, 45.79, 2.56, np.float64(1.14))","(375, 40.27, -4.57, np.float64(-1.78))"
M30,zscore_fib_144,2.63,continuation,1.87,1.87,40.2,40.2,840,0.7,0.41,-2611.2,"(365, 53.97, 5.39, np.float64(2.06))","(475, 47.37, -2.89, np.float64(-1.26))"
M30,zscore_fib_144,2.63,continuation,1.87,2.24,40.2,48.2,813,1.27,0.73,-2038.7,"(355, 49.3, 5.24, np.float64(1.99))","(458, 44.1, -1.81, np.float64(-0.78))"
M30,zscore_fib_144,2.63,continuation,2.23,2.68,47.9,57.6,770,3.45,1.92,244.0,"(339, 50.44, 6.32, np.float64(2.34))","(431, 47.56, 1.19, np.float64(0.49))"
