tf,ind,thr,mode,sl_atr,tp_atr,sl,tp,n,alpha,z_alpha,net,L,S
H1,zscore_fib_144,2.63,continuation,2.23,2.68,69.4,83.4,368,4.43,1.71,1056.0,"(180, 48.33, 4.05, np.float64(1.09))","(188, 50.53, 4.8, np.float64(1.32))"
H1,zscore_fib_144,2.63,continuation,1.53,1.91,47.6,59.4,408,1.17,0.48,-972.2,"(200, 43.5, 0.37, np.float64(0.1))","(208, 47.12, 1.95, np.float64(0.57))"
H1,zscore_fib_144,3.08,reversion,1.87,1.87,58.2,58.2,209,-4.9,-1.42,-2028.3,"(113, 46.9, -1.34, np.float64(-0.29))","(96, 41.67, -9.1, np.float64(-1.78))"
H1,zscore_fib_144,3.08,reversion,1.87,2.24,58.2,69.7,209,-4.91,-1.42,-2109.9,"(113, 42.48, -1.79, np.float64(-0.38))","(96, 37.5, -8.58, np.float64(-1.69))"
H1,zscore_fib_144,3.08,reversion,2.23,2.68,69.4,83.4,202,-5.34,-1.52,-2479.6,"(110, 40.0, -4.28, np.float64(-0.9))","(92, 39.13, -6.61, np.float64(-1.27))"
H1,zscore_fib_144,3.08,reversion,1.53,1.91,47.6,59.4,211,-4.73,-1.38,-1858.9,"(114, 41.23, -1.91, np.float64(-0.41))","(97, 37.11, -8.05, np.float64(-1.59))"
H1,zscore_fib_144,3.08,continuation,1.87,1.87,58.2,58.2,209,2.07,0.59,-282.3,"(96, 54.17, 5.92, np.float64(1.16))","(113, 49.56, -1.21, np.float64(-0.26))"
H1,zscore_fib_144,3.08,continuation,1.87,2.24,58.2,69.7,203,2.53,0.72,-126.0,"(92, 48.91, 4.64, np.float64(0.9))","(111, 46.85, 0.77, np.float64(0.16))"
H1,zscore_fib_144,3.08,continuation,2.23,2.68,69.4,83.4,200,3.92,1.12,372.9,"(90, 46.67, 2.39, np.float64(0.46))","(110, 50.91, 5.17, np.float64(1.09))"
H1,zscore_fib_144,3.08,continuation,1.53,1.91,47.6,59.4,209,3.61,1.05,61.9,"(95, 49.47, 6.34, np.float64(1.25))","(114, 46.49, 1.33, np.float64(0.28))"
