tf,W,T,mode,k,rr,n,wr,p0,alpha,z,net
H6,89,1.618,cont,1.618,1.0,109,44.95,49.57,-4.61,-0.96,-964.0
H6,89,1.618,cont,2.058,1.0,109,47.71,49.15,-1.44,-0.3,-374.0
H6,89,2.618,rev,1.618,1.0,74,50.0,49.24,0.76,0.13,-158.0
H6,89,2.618,rev,2.058,1.0,74,50.0,49.89,0.11,0.02,-337.0
H6,89,2.618,cont,1.618,1.0,74,50.0,49.57,0.43,0.07,144.0
H6,89,2.618,cont,2.058,1.0,74,50.0,49.15,0.85,0.15,-167.0
H6,89,4.181,rev,1.618,1.0,52,51.92,49.24,2.68,0.39,650.0
H6,89,4.181,rev,2.058,1.0,52,46.15,49.89,-3.74,-0.54,-837.0
H6,89,4.181,cont,1.618,1.0,52,48.08,49.57,-1.49,-0.21,-650.0
H6,89,4.181,cont,2.058,1.0,52,53.85,49.15,4.7,0.68,824.0
H8,55,1.618,rev,1.618,1.0,104,54.81,49.65,5.15,1.05,1628.0
H8,55,1.618,rev,2.058,1.0,104,52.88,50.19,2.69,0.55,90.0
H8,55,1.618,cont,1.618,1.0,104,44.23,50.94,-6.71,-1.37,-1754.0
H8,55,1.618,cont,2.058,1.0,104,47.12,48.86,-1.74,-0.36,-315.0
H8,55,2.618,rev,1.618,1.0,70,50.0,49.65,0.35,0.06,-451.0
H8,55,2.618,rev,2.058,1.0,70,47.14,50.19,-3.05,-0.51,-832.0
H8,55,2.618,cont,1.618,1.0,70,45.71,50.94,-5.23,-0.87,-946.0
H8,55,2.618,cont,2.058,1.0,70,52.86,48.86,4.0,0.67,806.0
H8,55,4.181,rev,1.618,1.0,47,40.43,49.65,-9.23,-1.27,-1528.0
H8,55,4.181,rev,2.058,1.0,47,44.68,50.19,-5.51,-0.76,-1084.0
H8,55,4.181,cont,1.618,1.0,47,55.32,50.94,4.38,0.6,907.0
H8,55,4.181,cont,2.058,1.0,47,55.32,48.86,6.46,0.89,1077.0
H8,89,1.618,rev,1.618,1.0,79,56.96,49.65,7.31,1.3,1500.0
H8,89,1.618,rev,2.058,1.0,79,53.16,50.19,2.97,0.53,-468.0
H8,89,1.618,cont,1.618,1.0,79,41.77,50.94,-9.17,-1.63,-1619.0
H8,89,1.618,cont,2.058,1.0,79,46.84,48.86,-2.02,-0.36,402.0
H8,89,2.618,rev,1.618,1.0,54,53.7,49.65,4.05,0.6,-54.0
H8,89,2.618,rev,2.058,1.0,54,48.15,50.19,-2.04,-0.3,-666.0
H8,89,2.618,cont,1.618,1.0,54,42.59,50.94,-8.35,-1.23,-1074.0
H8,89,2.618,cont,2.058,1.0,54,51.85,48.86,2.99,0.44,646.0
H8,89,4.181,rev,1.618,1.0,37,,,,,
H8,89,4.181,rev,2.058,1.0,37,,,,,
H8,89,4.181,cont,1.618,1.0,37,,,,,
H8,89,4.181,cont,2.058,1.0,37,,,,,
