tf,W,T,mode,k_sl,rr,n,wr,p0,alpha,z,net
D1,89,10.946,rev,1.618,1.0,4,,,,,
D1,89,10.946,rev,1.618,1.272,4,,,,,
D1,89,10.946,rev,2.058,1.0,4,,,,,
D1,89,10.946,rev,2.058,1.272,4,,,,,
D1,89,10.946,cont,1.618,1.0,4,,,,,
D1,89,10.946,cont,1.618,1.272,4,,,,,
D1,89,10.946,cont,2.058,1.0,4,,,,,
D1,89,10.946,cont,2.058,1.272,4,,,,,
D1,144,4.181,rev,1.618,1.0,11,,,,,
D1,144,4.181,rev,1.618,1.272,11,,,,,
D1,144,4.181,rev,2.058,1.0,11,,,,,
D1,144,4.181,rev,2.058,1.272,11,,,,,
D1,144,4.181,cont,1.618,1.0,11,,,,,
D1,144,4.181,cont,1.618,1.272,11,,,,,
D1,144,4.181,cont,2.058,1.0,11,,,,,
D1,144,4.181,cont,2.058,1.272,11,,,,,
D1,144,6.765,rev,1.618,1.0,7,,,,,
D1,144,6.765,rev,1.618,1.272,7,,,,,
D1,144,6.765,rev,2.058,1.0,7,,,,,
D1,144,6.765,rev,2.058,1.272,7,,,,,
D1,144,6.765,cont,1.618,1.0,7,,,,,
D1,144,6.765,cont,1.618,1.272,7,,,,,
D1,144,6.765,cont,2.058,1.0,7,,,,,
D1,144,6.765,cont,2.058,1.272,7,,,,,
D1,144,10.946,rev,1.618,1.0,3,,,,,
D1,144,10.946,rev,1.618,1.272,3,,,,,
D1,144,10.946,rev,2.058,1.0,3,,,,,
D1,144,10.946,rev,2.058,1.272,3,,,,,
D1,144,10.946,cont,1.618,1.0,3,,,,,
D1,144,10.946,cont,1.618,1.272,3,,,,,
D1,144,10.946,cont,2.058,1.0,3,,,,,
D1,144,10.946,cont,2.058,1.272,3,,,,,
