signal_bar,entry_bar,exit_bar,entry_price,exit_price,direction,outcome,pnl,bars_held,sl_dist,kelly_w
90300,90301,90307,0.71327,0.7121371143071427,short,win,0.0011328856928572995,6,0.0013756469127552374,1.075553112711675
90310,90311,90316,0.71339,0.7146197636070959,short,loss,-0.001229763607095924,5,0.0012297636070959714,1.075553112711675
90475,90476,90478,0.71116,0.7103397676785025,short,win,0.0008202323214975271,2,0.0009959963903899188,1.075553112711675
91159,91160,91167,0.71836,0.7168419672606414,short,win,0.0015180327393585769,7,0.001843325469221165,1.075553112711675
91167,91168,91178,0.7165,0.715017315342666,short,win,0.0014826846573340324,10,0.0018004027981912709,1.075553112711675
91199,91200,91205,0.7152499999999999,0.7173560568543028,short,loss,-0.0021060568543028735,5,0.0021060568543029073,1.075553112711675
91883,91884,91887,0.73271,0.7338393122639361,short,loss,-0.0011293122639360886,3,0.0011293122639361188,1.075553112711675
92223,92224,92233,0.73155,0.732965184986228,short,loss,-0.0014151849862279464,9,0.0014151849862279445,1.075553112711675
92243,92244,92251,0.73031,0.7292751643247987,short,win,0.001034835675201351,7,0.0012565861770301842,1.075553112711675
94031,94032,94034,0.74863,0.7477359369644849,short,win,0.0008940630355150914,2,0.001085647971696937,1.075553112711675
94551,94552,94553,0.74116,0.7405714385235415,short,win,0.0005885614764585823,1,0.0007146817928425075,1.075553112711675
94586,94587,94587,0.74002,0.7404945265655272,short,loss,-0.0004745265655271558,0,0.00047452656552715236,1.075553112711675
94587,94588,94590,0.74024,0.7407559175251324,short,loss,-0.0005159175251323589,2,0.0005159175251323637,1.075553112711675
95033,95034,95043,0.73576,0.7349040593917131,short,win,0.0008559406082868648,9,0.0010393564529196993,1.075553112711675
95162,95163,95169,0.71563,0.7176082087056626,short,loss,-0.0019782087056625652,6,0.0019782087056625436,1.075553112711675
95169,95170,95175,0.71719,0.7153090451400145,short,win,0.0018809548599855175,5,0.0022840166156967417,1.075553112711675
95175,95176,95197,0.71511,0.7172706687811566,short,loss,-0.002160668781156616,21,0.002160668781156574,1.075553112711675
95197,95198,95214,0.71651,0.7182267047143944,short,loss,-0.0017167047143944458,16,0.0017167047143944747,1.075553112711675
95247,95248,95255,0.71887,0.7202737353697451,short,loss,-0.0014037353697451405,7,0.001403735369745097,1.075553112711675
95267,95268,95272,0.71956,0.7184251452706807,short,win,0.00113485472931929,4,0.001378037885601941,1.075553112711675
95313,95314,95317,0.7138,0.7129364989112749,short,win,0.0008635010887251271,3,0.001048537036309121,1.075553112711675
95395,95396,95417,0.71204,0.7108120694662994,short,win,0.0012279305337006274,21,0.0014910585052078998,1.075553112711675
95455,95456,95459,0.70919,0.7077353696395143,short,win,0.0014546303604856536,3,0.0017663368663039703,1.075553112711675
95626,95627,95630,0.70567,0.7045976640212659,short,win,0.0010723359787341291,3,0.0013021222598914024,1.075553112711675
95977,95978,95988,0.71178,0.7104903964385421,short,win,0.0012896035614579082,10,0.0015659471817703102,1.075553112711675
96009,96010,96010,0.70909,0.7067758185173678,short,win,0.0023141814826321827,0,0.001958153562227193,1.7836024480043464
96010,96011,96014,0.7064,0.7081596101858838,short,loss,-0.0017596101858837754,3,0.0017596101858837882,2.0
96014,96015,96016,0.70719,0.7090429108839813,short,loss,-0.001852910883981318,1,0.001852910883981346,2.0
96016,96017,96033,0.7095899999999999,0.711733744588739,short,loss,-0.002143744588739005,16,0.0021437445887390254,2.0
96039,96040,96059,0.70857,0.7068204176203171,short,win,0.0017495823796829235,19,0.0038490812353023976,1.3762347575691247
96103,96104,96120,0.70089,0.6986404278210672,short,win,0.002249572178932846,16,0.0019034841514047253,1.7836024480043464
96120,96121,96123,0.69862,0.7007467506233952,short,loss,-0.0021267506233951794,2,0.0021267506233951395,1.7836024480043464
96146,96147,96174,0.6962,0.6925790234341123,short,win,0.003620976565887779,27,0.003063903248058892,1.7836024480043464
96177,96178,96179,0.69182,0.6941295607225794,short,loss,-0.0023095607225793735,1,0.002309560722579333,1.7836024480043464
