tf,W,D,mode,k_sl,rr,n,alpha,z,net
H12,144,21,cont,1.618,1.272,51,16.0,2.28,2302.0
H12,144,21,cont,2.058,1.0,51,10.62,1.52,1915.0
H12,144,21,cont,2.058,1.272,51,10.33,1.48,1941.0
H12,144,21,rev,1.618,1.0,51,-14.06,-2.01,-1889.0
H12,144,21,rev,1.618,1.272,51,-9.14,-1.31,-1620.0
H12,144,21,rev,2.058,1.0,51,-10.43,-1.49,-1948.0
H12,144,21,rev,2.058,1.272,51,-10.84,-1.55,-1863.0
H12,144,34,cont,1.618,1.0,46,11.34,1.54,1071.0
H12,144,34,cont,1.618,1.272,46,16.18,2.19,2140.0
H12,144,34,cont,2.058,1.0,46,10.85,1.47,1872.0
H12,144,34,cont,2.058,1.272,46,10.1,1.37,1736.0
H12,144,34,rev,1.618,1.0,46,-12.46,-1.69,-1410.0
H12,144,34,rev,1.618,1.272,46,-7.58,-1.03,-1200.0
H12,144,34,rev,2.058,1.0,46,-10.66,-1.45,-1905.0
H12,144,34,rev,2.058,1.272,46,-11.46,-1.55,-1973.0
D1,89,21,cont,1.618,1.0,30,,,
D1,89,21,cont,1.618,1.272,30,,,
D1,89,21,cont,2.058,1.0,30,,,
D1,89,21,cont,2.058,1.272,30,,,
D1,89,21,rev,1.618,1.0,30,,,
D1,89,21,rev,1.618,1.272,30,,,
D1,89,21,rev,2.058,1.0,30,,,
D1,89,21,rev,2.058,1.272,30,,,
D1,89,34,cont,1.618,1.0,24,,,
D1,89,34,cont,1.618,1.272,24,,,
D1,89,34,cont,2.058,1.0,24,,,
D1,89,34,cont,2.058,1.272,24,,,
D1,89,34,rev,1.618,1.0,24,,,
D1,89,34,rev,1.618,1.272,24,,,
D1,89,34,rev,2.058,1.0,24,,,
D1,89,34,rev,2.058,1.272,24,,,
D1,144,21,cont,1.618,1.0,23,,,
D1,144,21,cont,1.618,1.272,23,,,
D1,144,21,cont,2.058,1.0,23,,,
D1,144,21,cont,2.058,1.272,23,,,
D1,144,21,rev,1.618,1.0,23,,,
