signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held,t_entry,t_exit,src_card
278,1,127,long,1374.65,1378.894577469392,win,39.145774693919705,26.23348250551344,20,1294698600000000000,1294736400000000000,M30
552,6859,6859,long,1342.0,1348.9855096486433,win,66.55509648643302,43.17373083215927,0,1296756000000000000,1296756000000000000,H1
1135,16843,16855,short,1426.85,1422.0475627775502,win,44.72437222449726,29.681317814892655,1,1299751200000000000,1299754800000000000,H1
3065,24361,24379,short,1431.7,1433.6893346369648,loss,-23.19334636964713,19.89334636964806,3,1302006600000000000,1302012000000000000,M30
3155,24913,24919,long,1459.0,1456.9382535718546,loss,-23.917464281453977,20.61746428145329,1,1302172200000000000,1302174000000000000,M30
4509,36985,36991,short,1494.05,1496.3577746558194,loss,-26.377746558194577,23.07774655819359,1,1305793800000000000,1305795600000000000,M30
4513,37009,37033,short,1491.25,1493.656331697858,loss,-27.363316978579224,24.06331697857885,4,1305801000000000000,1305808200000000000,M30
2323,37255,37279,long,1496.8,1501.9973939073598,win,48.673939073598106,32.1223356449925,2,1305874800000000000,1305882000000000000,H1
2332,37363,37363,short,1490.35,1494.6293022163045,loss,-46.09302216304586,42.793022163046736,0,1305907200000000000,1305907200000000000,H1
4910,40657,40687,short,1532.8,1529.8618407607255,win,26.08159239274228,18.1592041982339,5,1306895400000000000,1306904400000000000,M30
5631,46819,46819,short,1544.0,1541.877530933731,win,17.924690662691045,13.117855786583409,0,1308744000000000000,1308744000000000000,M30
5632,46825,46831,short,1541.55,1542.9326529320556,loss,-17.126529320556347,13.826529320555602,1,1308745800000000000,1308747600000000000,M30
6371,56677,56725,long,1614.35,1618.843699835961,win,41.636998359610246,27.77317574759613,8,1311701400000000000,1311715800000000000,M30
6691,59221,59233,long,1667.1,1673.0926699357317,win,56.62669935731556,37.03751505396577,2,1312464600000000000,1312468200000000000,M30
7660,67489,67513,long,1829.8,1835.374549303048,win,52.445493030478886,34.4533331461544,4,1314945000000000000,1314952200000000000,M30
3906,67519,67519,long,1836.5,1845.9842317808425,win,91.54231780842493,58.61700729816125,0,1314954000000000000,1314954000000000000,H1
9298,81649,81655,short,1620.7,1625.6800125425073,loss,-53.10012542507211,49.800125425071634,1,1319193000000000000,1319194800000000000,M30
10560,93001,93025,long,1717.45,1713.5301820311922,loss,-42.4981796880782,39.19817968807877,4,1322598600000000000,1322605800000000000,M30
11930,105511,105547,long,1644.6,1648.785785651776,win,38.55785651776087,25.87012145720682,6,1326351600000000000,1326362400000000000,M30
12463,109939,109939,long,1727.83,1724.0993187360614,loss,-40.606812639385495,37.30681263938664,0,1327680000000000000,1327680000000000000,M30
12465,109951,109999,long,1729.9,1736.2369190340614,win,60.06919034061339,39.165136180849466,8,1327683600000000000,1327698000000000000,M30
6829,118771,118771,short,1770.12,1774.028842624159,loss,-42.38842624159433,39.08842624159471,0,1330329600000000000,1330329600000000000,H1
8499,147511,147583,long,1624.24,1631.5937217185883,win,70.23721718588304,45.44945437940805,6,1338951600000000000,1338973200000000000,H1
18507,163201,163213,short,1616.49,1618.9773431829626,loss,-28.173431829626043,24.87343182962672,2,1343658600000000000,1343662200000000000,M30
18892,166141,166219,long,1617.62,1615.5042324436558,loss,-24.45767556344053,21.157675563441583,12,1344540600000000000,1344564000000000000,M30
19203,169213,169243,short,1615.71,1613.1404412333504,win,22.395587666496063,15.88108013998551,5,1345462200000000000,1345471200000000000,M30
19209,169249,169249,short,1612.45,1614.1553442997138,loss,-20.353442997137154,17.053442997137147,0,1345473000000000000,1345473000000000000,M30
10060,174019,174067,long,1697.15,1701.7555459843145,win,42.75545984314404,28.464437480311407,4,1346904000000000000,1346918400000000000,H1
20123,177247,177325,short,1770.42,1772.9263391238565,loss,-28.363391238563786,25.063391238563156,13,1347872400000000000,1347895800000000000,M30
10528,182119,182143,long,1782.3,1787.2562961756485,win,46.26296175648504,30.63223841562755,2,1349334000000000000,1349341200000000000,H1
21382,187993,187993,short,1704.01,1706.5237979791527,loss,-28.43797979152741,25.137979791528164,0,1351096200000000000,1351096200000000000,M30
21980,193477,193483,short,1730.89,1726.4303014907168,win,41.29698509283271,27.56303157776988,1,1352741400000000000,1352743200000000000,M30
21982,193489,193495,short,1727.8,1730.6601842700925,loss,-31.90184270092532,28.60184270092507,1,1352745000000000000,1352746800000000000,M30
22258,195793,195805,short,1726.45,1721.7490365655392,win,43.70963434460846,29.05416214129032,2,1353436200000000000,1353439800000000000,M30
22368,196525,196543,long,1731.12,1733.850454718019,win,24.00454718018791,16.875492694800904,3,1353655800000000000,1353661200000000000,M30
22372,196549,196549,long,1732.82,1730.9882156451436,loss,-21.617843548563812,18.317843548563456,0,1353663000000000000,1353663000000000000,M30
22376,196573,196579,long,1734.51,1732.6136129659092,loss,-22.263870340908216,18.963870340907977,1,1353670200000000000,1353672000000000000,M30
22443,197605,197623,long,1750.64,1748.702329818594,loss,-22.676701814062472,19.37670181406228,3,1353979800000000000,1353985200000000000,M30
22463,197725,197755,short,1746.55,1748.4013028422123,loss,-21.813028422123622,18.513028422124123,5,1354015800000000000,1354024800000000000,M30
23087,203353,203353,long,1697.98,1695.7992686366638,loss,-25.10731363336236,21.80731363336344,0,1355704200000000000,1355704200000000000,M30
24003,212149,212149,short,1675.68,1678.014167800166,loss,-26.641678001659148,23.34167800166007,0,1358343000000000000,1358343000000000000,M30
24004,212155,212155,short,1674.8,1677.260636000158,loss,-27.90636000158047,24.606360001580917,0,1358344800000000000,1358344800000000000,M30
12199,212455,212455,short,1669.2,1672.628836222968,loss,-37.58836222967902,34.2883622296792,0,1358434800000000000,1358434800000000000,H1
24819,219595,219601,short,1665.6,1662.6964750830798,win,25.73524916920105,17.945147817800507,1,1360576800000000000,1360578600000000000,M30
26396,233821,233833,long,1600.5,1598.6020057030985,loss,-22.27994296901516,18.979942969016285,2,1364844600000000000,1364848200000000000,M30
13877,242371,242395,short,1469.54,1462.4886709178058,win,67.21329082194116,43.58052584792405,2,1367409600000000000,1367416800000000000,H1
13880,242407,242407,short,1459.65,1451.7841123617804,win,75.35887638219647,48.61488033510327,0,1367420400000000000,1367420400000000000,H1
31722,283159,283237,short,1362.52,1355.9831820901793,win,62.06817909820684,40.40060512868205,13,1379646000000000000,1379669400000000000,M30
34833,310699,311155,long,1202.96,1205.7338788249126,win,24.43878824912572,17.143874072389256,2,1387908000000000000,1388044800000000000,M30
37017,331117,331123,long,1337.88,1335.851531054414,loss,-23.584689455861557,20.284689455862587,1,1394033400000000000,1394035200000000000,M30
19125,338659,338755,short,1286.67,1281.3051743604883,win,50.348256395117645,33.15714239500468,7,1396296000000000000,1396324800000000000,H1
39662,354931,354937,short,1290.19,1288.5017792826338,win,13.582207173662209,10.43399701709646,1,1401177600000000000,1401179400000000000,M30
39921,357121,357133,long,1246.67,1245.0041439072952,loss,-19.958560927048712,16.658560927047738,2,1401834600000000000,1401838200000000000,M30
40289,360001,360625,long,1276.38,1278.785555092902,win,20.755550929019773,14.867460401124395,6,1402698600000000000,1402885800000000000,M30
40872,365383,365383,long,1328.6,1327.214829515072,loss,-17.151704849280396,13.851704849281116,0,1404313200000000000,1404313200000000000,M30
41214,368731,368737,short,1334.81,1332.5737111091182,win,19.06288890881724,13.821315765646744,1,1405317600000000000,1405319400000000000,M30
44395,396181,396193,short,1237.05,1238.7177661714686,loss,-19.977661714686565,16.67766171468692,2,1413552600000000000,1413556200000000000,M30
22687,401563,401575,short,1163.68,1158.965336037042,win,43.84663962958184,29.138837842757106,1,1415167200000000000,1415170800000000000,H1
45396,405331,405349,long,1188.16,1191.781572202584,win,32.91572202584048,22.3830173212861,3,1416297600000000000,1416303000000000000,M30
46470,414439,415063,short,1195.01,1197.0804514713866,loss,-24.004514713866048,20.704514713866047,6,1419030000000000000,1419217200000000000,M30
46480,415087,415135,long,1197.88,1200.8668925781365,win,26.56892578136349,18.46039912321557,8,1419224400000000000,1419238800000000000,M30
23701,420403,420415,long,1214.22,1219.4603716352888,win,49.10371635288739,32.387958190906744,1,1420819200000000000,1420822800000000000,H1
23789,422083,422083,long,1237.43,1233.1365373864112,loss,-46.23462613588872,42.93462613588858,0,1421323200000000000,1421323200000000000,H1
52938,473587,473611,short,1159.97,1157.1290742882277,win,25.1092571177257,17.55825532615918,4,1436774400000000000,1436781600000000000,M30
53130,474787,474829,short,1143.87,1142.1732102553844,win,13.667897446154438,10.486957630503364,7,1437134400000000000,1437147000000000000,M30
27747,492331,492355,long,1106.52,1109.3396862744712,win,24.896862744712237,17.426985627140084,2,1442397600000000000,1442404800000000000,H1
57919,517009,517021,short,1070.16,1067.3497418207226,win,24.802581792775253,17.36871557031888,2,1449801000000000000,1449804600000000000,M30
58652,524569,524581,long,1080.42,1082.8324689085168,win,20.824689085167574,14.910191029151278,2,1452069000000000000,1452072600000000000,M30
30123,534859,534859,long,1198.5,1205.1114467151117,win,62.81446715111697,40.86184619970112,0,1455156000000000000,1455156000000000000,H1
60063,536965,537001,short,1206.64,1202.430325769393,win,38.79674230607107,26.017764095223654,6,1455787800000000000,1455798600000000000,M30
60070,537007,537019,short,1202.67,1205.0193509419028,loss,-26.79350941902685,23.49350941902773,2,1455800400000000000,1455804000000000000,M30
60078,537055,537061,long,1210.16,1214.3226051141928,win,38.326051141927294,25.726854846679245,1,1455814800000000000,1455816600000000000,M30
61514,550435,550435,long,1218.93,1222.2598341618218,win,29.998341618217363,20.579939195436783,0,1459828800000000000,1459828800000000000,M30
61515,550441,550447,long,1222.87,1226.4542458684016,win,32.54245868401695,22.152323043273075,1,1459830600000000000,1459832400000000000,M30
63573,568675,568699,short,1241.35,1238.8204817566402,win,21.99518243359689,15.63361089839154,4,1465300800000000000,1465308000000000000,M30
64104,573157,573193,short,1263.22,1265.7598149193177,loss,-28.698149193174505,25.39814919317485,6,1466645400000000000,1466656200000000000,M30
32686,580771,580807,long,1333.88,1330.1868607541926,loss,-40.23139245807515,36.93139245807541,3,1468929600000000000,1468940400000000000,H1
32707,581035,581071,short,1328.29,1323.34126088085,win,46.18739119150105,30.585532256799592,3,1469008800000000000,1469019600000000000,H1
32816,582979,583015,short,1316.87,1319.71462781658,loss,-31.746278165802146,28.44627816580111,3,1469592000000000000,1469602800000000000,H1
32828,583123,583123,long,1322.74,1327.096134808898,win,40.26134808897878,26.92295926389346,0,1469635200000000000,1469635200000000000,H1
65390,584713,584761,short,1349.29,1351.2247628567177,loss,-22.647628567177254,19.347628567177686,8,1470112200000000000,1470126600000000000,M30
66865,597451,597487,short,1320.3,1321.7335151908012,loss,-17.63515190801245,14.335151908012008,6,1473933600000000000,1473944400000000000,M30
67172,600637,600649,short,1334.57,1336.2319490640386,loss,-19.919490640387085,16.619490640386957,2,1474889400000000000,1474893000000000000,M30
34672,615607,615619,long,1229.36,1226.1440303118122,loss,-35.459696881876695,32.159696881877544,1,1479380400000000000,1479384000000000000,H1
34674,615631,615655,long,1230.15,1226.8451295345235,loss,-36.348704654763694,33.04870465476419,2,1479387600000000000,1479394800000000000,H1
34677,615667,615679,short,1224.48,1227.8768257989211,loss,-37.26825798921327,33.96825798921431,1,1479398400000000000,1479402000000000000,H1
34681,615715,615715,short,1220.2,1214.1114265250344,win,57.58573474965642,37.63024397382921,0,1479412800000000000,1479412800000000000,H1
69952,625063,625081,short,1135.44,1132.7539097848662,win,23.56090215133845,16.60129922826894,3,1482217200000000000,1482222600000000000,M30
70844,633583,633595,short,1210.09,1207.08588847073,win,26.741115292699487,18.566820329233515,2,1484773200000000000,1484776800000000000,M30
73842,660187,660247,short,1279.5,1281.173963071807,loss,-20.039630718070654,16.73963071807007,10,1492754400000000000,1492772400000000000,M30
73858,660283,660283,long,1282.72,1284.8977214105353,win,18.477214105352413,13.45934122704078,0,1492783200000000000,1492783200000000000,M30
74106,662407,662413,long,1268.44,1267.1468232697137,loss,-16.231767302864046,12.931767302864111,1,1493420400000000000,1493422200000000000,M30
37401,665227,665467,short,1228.2,1223.6995897541262,win,41.70410245873809,27.81464923284182,19,1494266400000000000,1494338400000000000,H1
75060,671263,671269,short,1265.85,1266.894434224139,loss,-13.744342241391951,10.444342241392496,1,1496077200000000000,1496079000000000000,M30
75303,673417,673423,long,1281.48,1283.4458806264872,win,16.358806264872054,12.1500656766821,1,1496723400000000000,1496725200000000000,M30
76739,689557,689599,long,1270.3,1268.96860195627,loss,-16.613980437299052,13.313980437299996,7,1501565400000000000,1501578000000000000,M30
76753,689641,689671,short,1267.56,1265.5289345859287,win,17.010654140712358,12.552938282270189,5,1501590600000000000,1501599600000000000,M30
38862,695455,695467,long,1291.74,1289.4882529954325,loss,-25.81747004567733,22.517470045676767,1,1503334800000000000,1503338400000000000,H1
77437,696541,696583,long,1287.84,1286.733306110703,loss,-14.366938892965935,11.066938892965688,7,1503660600000000000,1503673200000000000,M30
77445,696589,696589,short,1285.54,1286.6331464063855,loss,-14.231464063855856,10.93146406385519,0,1503675000000000000,1503675000000000000,M30
38954,696607,696607,long,1289.55,1287.7254713160016,loss,-21.54528683998324,18.245286839984256,0,1503680400000000000,1503680400000000000,H1
80258,725959,725965,short,1273.78,1271.922752494729,win,15.272475052712888,11.478661960885862,1,1512486000000000000,1512487800000000000,M30
81275,735985,735985,short,1316.23,1314.1699814480985,win,17.300185519017486,12.731882273805772,0,1515493800000000000,1515493800000000000,M30
81622,738787,738853,long,1330.6,1333.8207368471603,win,28.90736847160424,19.905666546108776,11,1516334400000000000,1516354200000000000,M30
82543,746857,746875,long,1355.64,1358.7989193273938,win,28.289193273937325,19.52360523729083,3,1518755400000000000,1518760800000000000,M30
82806,749707,749713,short,1327.03,1328.5186707620194,loss,-18.186707620194102,14.88670762019332,1,1519610400000000000,1519612200000000000,M30
42991,773275,773887,long,1293.83,1291.6397437571045,loss,-25.202562428954295,21.90256242895408,2,1526680800000000000,1526864400000000000,H1
86480,782263,782281,long,1281.17,1283.256395819705,win,17.56395819704876,12.894906178645638,3,1529377200000000000,1529382600000000000,M30
86661,783979,784009,long,1271.16,1269.873793053256,loss,-16.16206946744187,12.86206946744163,5,1529892000000000000,1529901000000000000,M30
88864,803041,803065,short,1203.92,1201.6384004520442,win,19.515995479559205,14.10135690949254,4,1535610600000000000,1535617800000000000,M30
88882,803149,803149,long,1205.55,1203.902981824794,loss,-19.77018175205858,16.470181752057755,0,1535643000000000000,1535643000000000000,M30
89057,804883,805015,long,1195.96,1198.3982811636952,win,21.082811636951373,15.069722890575164,20,1536163200000000000,1536202800000000000,M30
89551,809155,809155,short,1201.43,1202.6252673317106,loss,-15.25267331710511,11.952673317106148,0,1537444800000000000,1537444800000000000,M30
90318,816313,816331,long,1222.44,1225.0133846712977,win,22.433846712976173,15.904726027797738,3,1539592200000000000,1539597600000000000,M30
90389,816751,816847,short,1225.9,1223.0663816163833,win,25.036183836167947,17.513092605789975,14,1539723600000000000,1539752400000000000,M30
91005,822367,822367,short,1230.72,1232.1342922691183,loss,-17.44292269118505,14.142922691185149,0,1541408400000000000,1541408400000000000,M30
45762,822679,822739,long,1233.87,1231.9383840254245,loss,-22.616159745753794,19.31615974575352,5,1541502000000000000,1541520000000000000,H1
92765,838507,838531,long,1281.03,1282.9726399882934,win,16.12639988293422,12.00642761615254,4,1546250400000000000,1546257600000000000,M30
46851,842911,842911,long,1294.34,1292.2905674822723,loss,-23.794325177273823,20.49432517727288,0,1547571600000000000,1547571600000000000,H1
46875,843211,843463,long,1292.92,1290.9926070301613,loss,-22.5739296983882,19.27392969838889,20,1547661600000000000,1547737200000000000,H1
46914,843703,843703,short,1288.62,1285.8887192209015,win,24.012807790981423,16.880598140285798,0,1547809200000000000,1547809200000000000,H1
95539,863299,863323,long,1317.81,1316.268817706121,loss,-18.711822938790466,15.41182293879154,4,1553688000000000000,1553695200000000000,M30
48805,877723,877735,short,1293.88,1291.037501016386,win,25.124989836141776,17.567978885130803,1,1558015200000000000,1558018800000000000,H1
97945,885157,885157,short,1327.18,1325.030903617043,win,18.19096382957396,13.282425110984745,0,1560245400000000000,1560245400000000000,M30
97946,885163,885169,short,1325.22,1322.9736882067073,win,19.163117932927616,13.883262010461728,1,1560247200000000000,1560249000000000000,M30
99876,901999,902005,long,1501.74,1508.0615221272133,win,59.91522127213257,39.06997606435844,1,1565298000000000000,1565299800000000000,M30
50207,903019,903031,short,1490.75,1495.029534732911,loss,-46.09534732911088,42.79534732911039,1,1565604000000000000,1565607600000000000,H1
50209,903043,903151,long,1502.75,1510.5116446692518,win,74.31644669251837,47.97060982232234,9,1565611200000000000,1565643600000000000,H1
50570,909379,909427,long,1532.21,1537.95188230767,win,54.1188230767004,35.48752971365876,4,1567512000000000000,1567526400000000000,H1
50825,913747,913771,long,1504.54,1508.9150232760571,win,40.45023276057164,27.039698863146477,2,1568822400000000000,1568829600000000000,H1
52270,939883,939919,long,1477.81,1476.2001112482376,loss,-19.398887517623557,16.098887517623517,3,1576663200000000000,1576674000000000000,H1
105269,951643,951703,short,1579.6,1581.8224440510069,loss,-25.5244405100696,22.22444051006893,10,1580191200000000000,1580209200000000000,M30
105875,956611,956641,long,1576.8,1575.2917806178034,loss,-18.382193821965576,15.082193821965246,5,1581681600000000000,1581690600000000000,M30
106051,958357,958357,long,1611.9,1615.4522294436492,win,32.2222944364914,21.95444649968551,0,1582205400000000000,1582205400000000000,M30
53377,960391,960427,long,1653.54,1647.1297005116458,loss,-67.40299488354212,64.10299488354298,3,1582815600000000000,1582826400000000000,H1
107196,968443,968455,long,1618.18,1631.2525453692826,win,127.4254536928258,80.79447076194423,2,1585231200000000000,1585234800000000000,M30
107286,969595,969601,long,1624.91,1619.013267235543,loss,-62.26732764457056,58.96732764457028,1,1585576800000000000,1585578600000000000,M30
107300,969679,969685,short,1611.47,1616.9769818046434,loss,-58.369818046433736,55.06981804643425,1,1585602000000000000,1585603800000000000,M30
