time,open,high,low,close,volume
1543293600,1222.01,1223.16,1220.79,1221.72,3493.0
1543308900,1221.72,1222.59,1219.72,1220.66,3485.0
1543311900,1220.57,1222.93,1219.52,1220.18,3727.0
1543315500,1220.2,1221.18,1219.41,1220.87,3623.0
1543320000,1220.92,1223.07,1220.81,1222.17,3512.0
1543326900,1222.17,1224.86,1221.87,1223.43,3555.0
1543332900,1223.47,1225.18,1222.29,1223.09,3712.0
1543336500,1223.09,1223.29,1220.63,1221.55,3546.0
1543340700,1221.51,1221.95,1215.4,1216.22,3722.0
1543350000,1216.22,1216.22,1211.84,1214.77,3514.0
1543370400,1214.77,1215.06,1212.72,1214.22,3408.0
1543390200,1214.21,1215.23,1213.49,1214.12,3422.0
1543399500,1214.12,1214.89,1212.54,1213.28,3539.0
1543406400,1213.29,1214.17,1212.31,1212.76,3380.0
1543414200,1212.76,1215.45,1212.72,1213.87,3618.0
1543420800,1213.87,1214.41,1212.53,1212.83,3620.0
1543423800,1212.84,1215.1,1211.13,1211.83,3462.0
1543427700,1211.78,1213.61,1211.42,1212.78,3838.0
1543431900,1212.78,1224.19,1212.68,1223.15,3500.0
1543434600,1223.14,1226.52,1218.73,1222.14,3463.0
1543438200,1222.13,1224.31,1220.68,1222.16,3394.0
1543453200,1222.25,1222.65,1220.0,1220.42,3378.0
1543465500,1220.56,1222.63,1220.23,1222.49,3357.0
1543479900,1222.46,1225.77,1222.41,1225.15,3382.0
1543486200,1225.06,1227.04,1224.32,1226.42,3539.0
1543490400,1226.41,1227.03,1224.95,1225.95,3406.0
1543496700,1225.9,1227.25,1224.82,1225.24,3392.0
1543501200,1225.27,1227.13,1224.21,1227.02,3429.0
1543505400,1227.03,1228.25,1225.12,1227.2,3348.0
1543509600,1227.2,1227.23,1224.42,1226.78,3353.0
1543512300,1226.82,1227.53,1225.05,1227.21,3367.0
1543515900,1227.21,1228.88,1224.87,1224.92,3320.0
1543519800,1224.91,1226.95,1224.65,1225.04,3468.0
1543523400,1225.03,1226.09,1222.82,1223.78,3449.0
1543527600,1223.77,1225.32,1222.12,1224.11,3329.0
1543546800,1224.14,1224.72,1223.08,1223.7,3442.0
1543562400,1223.7,1225.43,1223.4,1224.63,3492.0
1543572300,1224.64,1224.93,1223.17,1223.28,3400.0
1543582200,1223.28,1224.41,1220.72,1221.69,3459.0
1543590900,1221.72,1222.99,1220.32,1220.58,3381.0
1543593900,1220.65,1222.34,1219.66,1221.01,3698.0
1543595700,1221.03,1221.47,1217.39,1218.5,3750.0
1543599000,1218.51,1218.54,1216.6,1218.0,3685.0
1543602300,1218.0,1219.69,1217.8,1219.68,3523.0
1543606500,1219.64,1222.94,1219.43,1221.85,3478.0
1543610400,1221.85,1221.85,1219.65,1220.64,3513.0
1543617600,1220.63,1222.07,1220.36,1221.98,3387.0
1543808100,1221.97,1223.61,1221.16,1223.21,3435.0
1543820400,1223.21,1225.95,1222.52,1225.1,3401.0
1543828200,1225.14,1230.0,1224.72,1229.83,3442.0
1543833900,1229.77,1232.2,1229.65,1231.36,3481.0
1543840500,1231.36,1231.86,1230.01,1230.54,3443.0
1543845600,1230.55,1230.98,1227.91,1228.95,3450.0
1543850100,1228.94,1230.07,1227.79,1229.01,3517.0
1543852200,1229.05,1232.82,1228.55,1231.6,3649.0
1543855500,1231.64,1234.37,1231.63,1234.13,3565.0
1543858800,1234.19,1234.86,1230.46,1234.05,3603.0
1543861800,1233.99,1234.78,1232.07,1234.08,3499.0
1543867200,1234.08,1234.37,1232.08,1232.79,3496.0
1543870500,1232.8,1234.45,1231.91,1232.08,3410.0
1543875600,1232.09,1232.09,1230.58,1230.63,3461.0
1543893000,1230.64,1232.7,1229.85,1232.55,3514.0
1543901400,1232.55,1235.73,1232.44,1235.63,3418.0
1543911300,1235.63,1238.08,1235.22,1237.91,3509.0
1543918800,1237.91,1238.8,1236.09,1238.33,3554.0
1543921800,1238.33,1239.64,1237.88,1238.64,3430.0
1543925400,1238.62,1241.09,1238.03,1239.6,3541.0
1543931400,1239.6,1240.11,1238.56,1239.14,3416.0
1543938000,1239.14,1241.29,1237.65,1237.84,3561.0
1543941300,1237.79,1241.87,1237.76,1240.18,3610.0
1543944300,1240.18,1241.27,1238.34,1238.79,3579.0
1543949700,1238.78,1239.36,1237.45,1238.41,3419.0
1543952100,1238.36,1238.52,1236.62,1238.26,3399.0
1543955400,1238.27,1241.35,1238.18,1239.29,3795.0
1543957500,1239.27,1239.97,1237.94,1237.95,3509.0
1543962000,1237.93,1238.55,1236.55,1238.3,3424.0
1543978800,1238.27,1239.11,1235.01,1235.99,3530.0
1543993800,1236.02,1237.14,1234.0,1234.19,3527.0
1544003700,1234.17,1235.81,1233.32,1234.06,3651.0
1544015700,1234.05,1237.53,1233.24,1237.02,3562.0
1544028000,1236.98,1238.65,1236.97,1237.57,3544.0
1544036100,1237.51,1237.79,1235.41,1237.6,3488.0
1544059500,1237.63,1239.01,1235.84,1237.54,3421.0
1544067300,1237.53,1240.4,1237.13,1239.88,3484.0
1544077500,1239.88,1240.68,1238.46,1239.7,3447.0
1544087400,1239.7,1240.1,1234.85,1235.49,3506.0
1544092200,1235.49,1236.81,1234.66,1235.84,3600.0
1544096400,1235.77,1237.53,1235.65,1237.12,3507.0
1544102400,1237.1,1237.72,1235.29,1235.29,3529.0
1544106600,1235.31,1236.86,1235.24,1236.43,3389.0
1544110800,1236.43,1239.88,1235.83,1237.54,3434.0
1544113800,1237.54,1242.65,1236.56,1241.66,3678.0
1544116200,1241.66,1244.29,1241.29,1241.94,3609.0
1544118900,1241.94,1243.51,1241.39,1241.49,3733.0
1544121900,1241.5,1243.16,1240.21,1241.89,3511.0
1544124900,1241.89,1242.12,1239.76,1240.83,3665.0
1544128200,1240.84,1241.13,1237.9,1238.91,3766.0
1544131500,1238.89,1239.53,1236.99,1238.45,3406.0
1544136000,1238.44,1238.64,1236.5,1237.56,3591.0
1544157600,1237.62,1239.48,1237.15,1238.68,3540.0
1544173500,1238.7,1240.45,1238.33,1238.45,3494.0
1544179200,1238.43,1241.17,1237.9,1240.49,3519.0
1544188500,1240.49,1242.14,1239.3,1242.03,3635.0
1544195100,1242.04,1242.83,1239.78,1240.28,3526.0
1544197500,1240.26,1245.46,1239.49,1243.41,3686.0
1544200500,1243.44,1244.62,1242.3,1243.84,3681.0
1544203800,1243.91,1246.08,1243.05,1245.65,3721.0
1544208300,1245.66,1246.73,1244.65,1245.48,3650.0
1544212800,1245.47,1247.03,1244.01,1246.51,3923.0
1544215800,1246.51,1248.2,1246.01,1248.2,3513.0
1544220300,1248.17,1249.91,1248.07,1249.28,3704.0
1544408700,1249.26,1250.4,1247.88,1248.63,3672.0
1544417400,1248.63,1250.18,1247.42,1249.36,3628.0
1544432700,1249.3,1249.88,1247.19,1247.73,3661.0
1544439300,1247.8,1248.79,1246.05,1246.22,3800.0
1544446500,1246.24,1247.64,1245.88,1246.46,3660.0
1544452800,1246.46,1247.74,1245.46,1246.54,3715.0
1544456700,1246.53,1247.03,1243.34,1245.06,3697.0
1544461200,1245.06,1246.6,1243.37,1245.13,3706.0
1544464500,1245.14,1246.99,1243.73,1245.01,3661.0
1544467200,1245.01,1247.01,1244.91,1245.68,3668.0
1544469600,1245.67,1246.16,1244.31,1245.01,4018.0
1544471700,1245.02,1245.15,1242.55,1243.28,4052.0
1544475000,1243.29,1244.49,1242.48,1243.09,3590.0
1544477700,1243.09,1243.12,1241.48,1242.3,3738.0
1544484900,1242.31,1244.77,1242.06,1244.14,3653.0
1544505000,1244.14,1245.94,1243.47,1245.34,3680.0
1544519700,1245.36,1247.5,1245.05,1247.26,3778.0
1544527800,1247.26,1248.99,1246.78,1248.39,3751.0
1544535000,1248.39,1249.44,1246.23,1247.68,3760.0
1544539500,1247.69,1248.68,1245.58,1245.73,3823.0
1544543400,1245.75,1247.53,1245.13,1247.19,3879.0
1544546100,1247.18,1247.49,1244.04,1245.82,3783.0
1544549100,1245.83,1246.56,1243.18,1243.88,3947.0
1544551800,1243.82,1244.8,1242.56,1244.0,3700.0
1544554200,1244.07,1244.43,1241.98,1243.38,3808.0
1544556900,1243.38,1245.09,1243.05,1244.19,3858.0
1544559600,1244.2,1244.51,1242.03,1242.25,3796.0
1544561700,1242.29,1243.25,1241.22,1243.04,3736.0
1544564400,1243.04,1243.12,1240.89,1241.25,3704.0
1544578800,1241.26,1243.45,1241.11,1243.16,3802.0
