signal_bar,entry_bar,exit_bar,direction,entry_price,exit_price,outcome,pnl_pip,sl_pip,bars_held
120,121,132,long,1620.48,1619.9919,loss,-8.181000000000314,4.880999999999892,11
152,153,155,short,1622.17,1621.43785,win,4.0215000000004695,4.880999999999892,2
327,328,331,short,1621.77,1622.2581,loss,-8.181000000000314,4.880999999999892,3
481,482,509,long,1624.11,1623.6218999999999,loss,-8.181000000000314,4.880999999999892,27
521,522,546,long,1623.01,1623.74215,win,4.0215000000004695,4.880999999999892,24
570,571,574,long,1623.71,1623.2219,loss,-8.181000000000314,4.880999999999892,3
661,662,672,long,1625.11,1624.6218999999999,loss,-8.181000000000314,4.880999999999892,10
689,690,693,long,1625.26,1624.7719,loss,-8.181000000000314,4.880999999999892,3
769,770,771,long,1627.51,1627.0219,loss,-8.181000000000314,4.880999999999892,1
950,951,953,short,1623.15,1622.41785,win,4.0215000000004695,4.880999999999892,2
962,963,967,short,1622.38,1621.64785,win,4.0215000000004695,4.880999999999892,4
973,974,974,short,1625.35,1625.8381,loss,-8.181000000000314,4.880999999999892,0
1119,1120,1120,long,1628.19,1627.7019,loss,-8.181000000000314,4.880999999999892,0
1160,1161,1166,short,1630.75,1631.2381,loss,-8.181000000000314,4.880999999999892,5
1274,1275,1277,short,1627.51,1626.77785,win,4.0215000000004695,4.880999999999892,2
1283,1284,1284,short,1628.85,1629.3381,loss,-8.181000000000314,4.880999999999892,0
1309,1310,1312,short,1629.53,1628.79785,win,4.0215000000004695,4.880999999999892,2
1341,1342,1357,long,1627.2,1627.93215,win,4.0215000000004695,4.880999999999892,15
1639,1640,1640,short,1642.43,1642.9181,loss,-8.181000000000314,4.880999999999892,0
1655,1656,1657,short,1642.86,1643.3481,loss,-8.181000000000314,4.880999999999892,1
1664,1665,1669,short,1642.97,1642.23785,win,4.0215000000004695,4.880999999999892,4
1708,1709,1709,long,1640.15,1639.6619,loss,-8.181000000000314,4.880999999999892,0
1723,1724,1725,long,1638.16,1637.6719,loss,-8.181000000000314,4.880999999999892,1
1767,1768,1772,short,1637.22,1637.7081,loss,-8.181000000000314,4.880999999999892,4
1775,1776,1779,short,1637.42,1637.9081,loss,-8.181000000000314,4.880999999999892,3
1820,1821,1826,short,1640.7,1639.96785,win,4.0215000000004695,4.880999999999892,5
1844,1845,1849,long,1640.26,1639.7719,loss,-8.181000000000314,4.880999999999892,4
1854,1855,1896,long,1639.76,1640.49215,win,4.0215000000004695,4.880999999999892,41
1923,1924,1932,long,1638.66,1639.3921500000001,win,4.0215000000004695,4.880999999999892,8
1995,1996,1996,short,1642.43,1642.9181,loss,-8.181000000000314,4.880999999999892,0
2021,2022,2022,short,1643.62,1644.1081,loss,-8.181000000000314,4.880999999999892,0
2024,2025,2027,short,1644.08,1644.5681,loss,-8.181000000000314,4.880999999999892,2
2045,2046,2054,long,1643.12,1642.6318999999999,loss,-8.181000000000314,4.880999999999892,8
2095,2096,2103,short,1643.51,1643.9981,loss,-8.181000000000314,4.880999999999892,7
2169,2170,2171,long,1641.86,1641.3718999999999,loss,-8.181000000000314,4.880999999999892,1
2173,2174,2227,long,1640.89,1641.6221500000001,win,4.0215000000004695,4.880999999999892,53
2252,2253,2253,long,1640.1,1639.6118999999999,loss,-8.181000000000314,4.880999999999892,0
2256,2257,2265,long,1639.91,1639.4219,loss,-8.181000000000314,4.880999999999892,8
2278,2279,2297,long,1640.07,1639.5819,loss,-8.181000000000314,4.880999999999892,18
2298,2299,2302,long,1639.36,1640.09215,win,4.0215000000004695,4.880999999999892,3
2317,2318,2319,short,1641.02,1641.5081,loss,-8.181000000000314,4.880999999999892,1
2329,2330,2334,short,1642.2,1641.46785,win,4.0215000000004695,4.880999999999892,4
2361,2362,2368,short,1642.56,1641.82785,win,4.0215000000004695,4.880999999999892,6
2385,2386,2389,long,1642.11,1641.6218999999999,loss,-8.181000000000314,4.880999999999892,3
2419,2420,2420,short,1645.04,1644.30785,win,4.0215000000004695,4.880999999999892,0
2513,2514,2517,short,1646.55,1647.0381,loss,-8.181000000000314,4.880999999999892,3
2517,2518,2519,short,1647.14,1646.40785,win,4.0215000000004695,4.880999999999892,1
2528,2529,2531,long,1644.85,1644.3618999999999,loss,-8.181000000000314,4.880999999999892,2
2544,2545,2548,long,1644.52,1644.0319,loss,-8.181000000000314,4.880999999999892,3
2559,2560,2562,long,1639.97,1639.4819,loss,-8.181000000000314,4.880999999999892,2
2673,2674,2675,long,1644.33,1645.06215,win,4.0215000000004695,4.880999999999892,1
2675,2676,2676,long,1644.95,1644.4619,loss,-8.181000000000314,4.880999999999892,0
2692,2693,2693,long,1643.98,1643.4919,loss,-8.181000000000314,4.880999999999892,0
2704,2705,2707,short,1644.36,1644.8481,loss,-8.181000000000314,4.880999999999892,2
2794,2795,2798,long,1644.62,1644.1318999999999,loss,-8.181000000000314,4.880999999999892,3
