entry_bar,exit_bar,pnl_pip,outcome,sl_pip,tp_pip,exit_kind,direction
699,703,-15.300000000000455,loss,542.0699999999996,542.0699999999996,0,long
1159,1163,123.70000000000046,win,542.0699999999996,542.0699999999996,0,long
1969,1973,-97.00000000000118,loss,542.0699999999996,542.0699999999996,0,long
2324,2328,-132.50000000000074,loss,542.0699999999996,542.0699999999996,0,long
2344,2348,-0.10000000000063647,loss,542.0699999999996,542.0699999999996,0,long
2352,2356,-37.80000000000045,loss,542.0699999999996,542.0699999999996,0,long
2377,2381,-33.599999999999724,loss,542.0699999999996,542.0699999999996,0,long
2394,2398,9.899999999999363,win,542.0699999999996,542.0699999999996,0,long
2849,2853,52.499999999999275,win,542.0699999999996,542.0699999999996,0,long
2874,2878,31.200000000000454,win,542.0699999999996,542.0699999999996,0,long
2881,2885,-181.7999999999991,loss,542.0699999999996,542.0699999999996,0,long
2932,2936,-86.60000000000154,loss,542.0699999999996,542.0699999999996,0,long
2937,2941,22.700000000001364,win,542.0699999999996,542.0699999999996,0,long
4621,4625,-545.3699999999995,loss,542.0699999999996,542.0699999999996,2,long
4766,4770,-104.69999999999872,loss,542.0699999999996,542.0699999999996,0,long
4773,4777,-20.900000000002183,loss,542.0699999999996,542.0699999999996,0,long
4902,4906,-37.39999999999854,loss,542.0699999999996,542.0699999999996,0,long
4971,4975,13.800000000000363,win,542.0699999999996,542.0699999999996,0,long
4995,4999,-157.200000000001,loss,542.0699999999996,542.0699999999996,0,long
5063,5067,363.2000000000009,win,542.0699999999996,542.0699999999996,0,long
5463,5467,-10.8,loss,542.0699999999996,542.0699999999996,0,long
5475,5479,-322.3000000000009,loss,542.0699999999996,542.0699999999996,0,long
5501,5505,-30.70000000000009,loss,542.0699999999996,542.0699999999996,0,long
5533,5537,5.3000000000012735,win,542.0699999999996,542.0699999999996,0,long
5541,5545,-43.99999999999936,loss,542.0699999999996,542.0699999999996,0,long
5627,5631,129.49999999999972,win,542.0699999999996,542.0699999999996,0,long
5634,5638,-88.10000000000018,loss,542.0699999999996,542.0699999999996,0,long
18525,18527,-545.3699999999995,loss,542.0699999999996,542.0699999999996,2,long
18942,18946,28.00000000000109,win,542.0699999999996,542.0699999999996,0,long
18966,18970,-54.60000000000109,loss,542.0699999999996,542.0699999999996,0,long
19369,19373,136.7999999999999,win,542.0699999999996,542.0699999999996,0,long
19811,19815,27.59999999999918,win,542.0699999999996,542.0699999999996,0,long
19819,19823,-126.09999999999972,loss,542.0699999999996,542.0699999999996,0,long
19955,19959,119.89999999999937,win,542.0699999999996,542.0699999999996,0,long
19962,19963,-545.3699999999995,loss,542.0699999999996,542.0699999999996,2,long
20050,20054,-38.00000000000027,loss,542.0699999999996,542.0699999999996,0,long
20121,20125,48.60000000000055,win,542.0699999999996,542.0699999999996,0,long
20138,20142,90.80000000000082,win,542.0699999999996,542.0699999999996,0,long
20152,20156,6.399999999997999,win,542.0699999999996,542.0699999999996,0,long
20200,20204,-5.500000000000273,loss,542.0699999999996,542.0699999999996,0,long
20217,20221,44.100000000000094,win,542.0699999999996,542.0699999999996,0,long
20232,20236,-17.000000000001183,loss,542.0699999999996,542.0699999999996,0,long
20280,20284,78.80000000000037,win,542.0699999999996,542.0699999999996,0,long
20407,20411,-158.80000000000183,loss,542.0699999999996,542.0699999999996,0,long
20567,20571,-160.40000000000038,loss,542.0699999999996,542.0699999999996,0,long
22627,22631,64.39999999999982,win,542.0699999999996,542.0699999999996,0,long
22881,22885,49.100000000000094,win,542.0699999999996,542.0699999999996,0,long
22889,22893,-52.90000000000036,loss,542.0699999999996,542.0699999999996,0,long
22987,22991,-175.09999999999837,loss,542.0699999999996,542.0699999999996,0,long
22993,22997,20.499999999998817,win,542.0699999999996,542.0699999999996,0,long
23001,23005,-112.70000000000054,loss,542.0699999999996,542.0699999999996,0,long
23011,23015,127.39999999999937,win,542.0699999999996,542.0699999999996,0,long
23032,23036,-61.999999999998906,loss,542.0699999999996,542.0699999999996,0,long
23041,23045,-116.59999999999927,loss,542.0699999999996,542.0699999999996,0,long
23049,23053,16.200000000000454,win,542.0699999999996,542.0699999999996,0,long
23057,23061,-174.80000000000092,loss,542.0699999999996,542.0699999999996,0,long
23071,23075,246.60000000000008,win,542.0699999999996,542.0699999999996,0,long
23090,23094,-40.60000000000018,loss,542.0699999999996,542.0699999999996,0,long
24570,24574,109.1000000000001,win,542.0699999999996,542.0699999999996,0,long
24794,24798,6.999999999999727,win,542.0699999999996,542.0699999999996,0,long
24808,24812,266.9999999999997,win,542.0699999999996,542.0699999999996,0,long
24921,24925,-209.90000000000083,loss,542.0699999999996,542.0699999999996,0,long
24961,24965,52.19999999999955,win,542.0699999999996,542.0699999999996,0,long
24977,24981,-52.79999999999818,loss,542.0699999999996,542.0699999999996,0,long
24983,24987,142.59999999999917,win,542.0699999999996,542.0699999999996,0,long
24993,24997,-8.499999999999819,loss,542.0699999999996,542.0699999999996,0,long
25001,25005,11.500000000000181,win,542.0699999999996,542.0699999999996,0,long
25068,25072,-102.50000000000072,loss,542.0699999999996,542.0699999999996,0,long
26289,26293,143.60000000000053,win,542.0699999999996,542.0699999999996,0,long
26940,26944,5.8000000000030925,win,542.0699999999996,542.0699999999996,0,long
27457,27461,-1.3999999999994541,loss,542.0699999999996,542.0699999999996,0,long
27465,27469,80.1999999999991,win,542.0699999999996,542.0699999999996,0,long
27553,27557,222.60000000000144,win,542.0699999999996,542.0699999999996,0,long
27913,27917,-29.399999999996727,loss,542.0699999999996,542.0699999999996,0,long
