entry_bar,exit_bar,pnl_pip,outcome,sl_pip,tp_pip,exit_kind,direction
1044,1048,-134.79999999999865,loss,384.65200000000016,384.65200000000016,0,long
1094,1098,5.199999999999091,win,384.65200000000016,384.65200000000016,0,long
1103,1107,131.7,win,384.65200000000016,384.65200000000016,0,long
1733,1737,26.200000000000454,win,384.65200000000016,384.65200000000016,0,long
2962,2966,159.99999999999926,win,384.65200000000016,384.65200000000016,0,long
3324,3328,22.999999999998817,win,384.65200000000016,384.65200000000016,0,long
3482,3486,327.9999999999988,win,384.65200000000016,384.65200000000016,0,long
3515,3519,17.799999999999,win,384.65200000000016,384.65200000000016,0,long
3527,3531,51.600000000000094,win,384.65200000000016,384.65200000000016,0,long
3564,3568,40.099999999999184,win,384.65200000000016,384.65200000000016,0,long
3590,3594,59.49999999999973,win,384.65200000000016,384.65200000000016,0,long
3596,3600,-178.69999999999965,loss,384.65200000000016,384.65200000000016,0,long
4199,4203,29.799999999999454,win,384.65200000000016,384.65200000000016,0,long
4268,4272,221.10000000000053,win,384.65200000000016,384.65200000000016,0,long
4315,4317,-387.95200000000017,loss,384.65200000000016,384.65200000000016,2,long
4376,4380,73.90000000000028,win,384.65200000000016,384.65200000000016,0,long
6915,6918,-387.95200000000017,loss,384.65200000000016,384.65200000000016,2,long
7112,7116,55.20000000000137,win,384.65200000000016,384.65200000000016,0,long
7151,7155,-136.29999999999956,loss,384.65200000000016,384.65200000000016,0,long
7166,7170,-101.19999999999963,loss,384.65200000000016,384.65200000000016,0,long
7172,7176,-89.40000000000127,loss,384.65200000000016,384.65200000000016,0,long
7185,7189,-10.200000000000546,loss,384.65200000000016,384.65200000000016,0,long
7326,7330,-93.0999999999979,loss,384.65200000000016,384.65200000000016,0,long
7339,7343,-22.09999999999882,loss,384.65200000000016,384.65200000000016,0,long
7440,7444,125.30000000000128,win,384.65200000000016,384.65200000000016,0,long
7454,7458,20.899999999998453,win,384.65200000000016,384.65200000000016,0,long
7466,7470,-11.199999999999637,loss,384.65200000000016,384.65200000000016,0,long
7477,7481,-144.90000000000083,loss,384.65200000000016,384.65200000000016,0,long
7540,7544,130.40000000000117,win,384.65200000000016,384.65200000000016,0,long
7581,7585,15.699999999998635,win,384.65200000000016,384.65200000000016,0,long
7605,7609,-30.200000000000546,loss,384.65200000000016,384.65200000000016,0,long
8177,8181,-57.500000000000725,loss,384.65200000000016,384.65200000000016,0,long
8235,8239,-20.300000000000455,loss,384.65200000000016,384.65200000000016,0,long
8424,8428,130.600000000001,win,384.65200000000016,384.65200000000016,0,long
16664,16668,-67.90000000000036,loss,384.65200000000016,384.65200000000016,0,long
17861,17865,-52.90000000000036,loss,384.65200000000016,384.65200000000016,0,long
17883,17887,29.2,win,384.65200000000016,384.65200000000016,0,long
26091,26095,33.20000000000091,win,384.65200000000016,384.65200000000016,0,long
27702,27706,84.1000000000001,win,384.65200000000016,384.65200000000016,0,long
28395,28399,-91.80000000000136,loss,384.65200000000016,384.65200000000016,0,long
28991,28995,47.399999999999366,win,384.65200000000016,384.65200000000016,0,long
29466,29469,-387.95200000000017,loss,384.65200000000016,384.65200000000016,2,long
29648,29652,-31.199999999999637,loss,384.65200000000016,384.65200000000016,0,long
29661,29665,-7.500000000000727,loss,384.65200000000016,384.65200000000016,0,long
29674,29678,-56.19999999999963,loss,384.65200000000016,384.65200000000016,0,long
29853,29857,21.60000000000009,win,384.65200000000016,384.65200000000016,0,long
29862,29866,301.4999999999979,win,384.65200000000016,384.65200000000016,0,long
29980,29984,-21.500000000001638,loss,384.65200000000016,384.65200000000016,0,long
30067,30071,6.7,win,384.65200000000016,384.65200000000016,0,long
30103,30107,10.499999999998817,win,384.65200000000016,384.65200000000016,0,long
30114,30118,29.399999999999817,win,384.65200000000016,384.65200000000016,0,long
30126,30130,-6.599999999999272,loss,384.65200000000016,384.65200000000016,0,long
30138,30142,32.19999999999955,win,384.65200000000016,384.65200000000016,0,long
30150,30154,-140.7000000000001,loss,384.65200000000016,384.65200000000016,0,long
30172,30176,53.80000000000037,win,384.65200000000016,384.65200000000016,0,long
30244,30248,-5.2000000000005455,loss,384.65200000000016,384.65200000000016,0,long
30291,30295,-146.80000000000138,loss,384.65200000000016,384.65200000000016,0,long
30363,30367,-144.69999999999874,loss,384.65200000000016,384.65200000000016,0,long
30555,30559,34.999999999999275,win,384.65200000000016,384.65200000000016,0,long
30564,30568,-125.99999999999982,loss,384.65200000000016,384.65200000000016,0,long
30662,30666,5.4000000000011825,win,384.65200000000016,384.65200000000016,0,long
30709,30713,-58.20000000000009,loss,384.65200000000016,384.65200000000016,0,long
30720,30724,42.19999999999955,win,384.65200000000016,384.65200000000016,0,long
30732,30736,-70.8,loss,384.65200000000016,384.65200000000016,0,long
30740,30744,115.59999999999873,win,384.65200000000016,384.65200000000016,0,long
30755,30759,119.29999999999991,win,384.65200000000016,384.65200000000016,0,long
30781,30785,-16.100000000002,loss,384.65200000000016,384.65200000000016,0,long
30790,30794,-137.69999999999828,loss,384.65200000000016,384.65200000000016,0,long
31738,31742,-30.600000000000183,loss,384.65200000000016,384.65200000000016,0,long
31747,31751,-195.30000000000047,loss,384.65200000000016,384.65200000000016,0,long
31758,31762,38.60000000000055,win,384.65200000000016,384.65200000000016,0,long
32179,32183,-89.59999999999881,loss,384.65200000000016,384.65200000000016,0,long
33877,33879,-387.95200000000017,loss,384.65200000000016,384.65200000000016,2,long
34213,34217,-83.0999999999979,loss,384.65200000000016,384.65200000000016,0,long
34224,34228,-17.200000000001,loss,384.65200000000016,384.65200000000016,0,long
34273,34277,-92.69999999999827,loss,384.65200000000016,384.65200000000016,0,long
34368,34372,28.900000000000272,win,384.65200000000016,384.65200000000016,0,long
34384,34388,-73.49999999999982,loss,384.65200000000016,384.65200000000016,0,long
34393,34397,-9.199999999999182,loss,384.65200000000016,384.65200000000016,0,long
34428,34432,8.599999999998271,win,384.65200000000016,384.65200000000016,0,long
34440,34444,44.999999999999275,win,384.65200000000016,384.65200000000016,0,long
34456,34460,199.99999999999926,win,384.65200000000016,384.65200000000016,0,long
34464,34468,-301.6999999999992,loss,384.65200000000016,384.65200000000016,0,long
34486,34490,-49.40000000000127,loss,384.65200000000016,384.65200000000016,0,long
34501,34505,-116.09999999999972,loss,384.65200000000016,384.65200000000016,0,long
34512,34516,126.10000000000055,win,384.65200000000016,384.65200000000016,0,long
34574,34578,-60.20000000000054,loss,384.65200000000016,384.65200000000016,0,long
34825,34829,-39.599999999998815,loss,384.65200000000016,384.65200000000016,0,long
35680,35684,-10.200000000000546,loss,384.65200000000016,384.65200000000016,0,long
35709,35713,244.3999999999998,win,384.65200000000016,384.65200000000016,0,long
35718,35722,57.900000000001185,win,384.65200000000016,384.65200000000016,0,long
35770,35774,86.10000000000055,win,384.65200000000016,384.65200000000016,0,long
35854,35858,-40.70000000000009,loss,384.65200000000016,384.65200000000016,0,long
36790,36794,-78.90000000000173,loss,384.65200000000016,384.65200000000016,0,long
36802,36806,23.900000000000272,win,384.65200000000016,384.65200000000016,0,long
36816,36820,42.799999999999,win,384.65200000000016,384.65200000000016,0,long
36826,36830,7.500000000001546,win,384.65200000000016,384.65200000000016,0,long
37128,37132,-38.20000000000009,loss,384.65200000000016,384.65200000000016,0,long
37149,37153,381.35200000000015,win,384.65200000000016,384.65200000000016,1,long
37259,37263,-38.399999999999906,loss,384.65200000000016,384.65200000000016,0,long
37282,37286,-24.29999999999909,loss,384.65200000000016,384.65200000000016,0,long
37294,37298,41.79999999999991,win,384.65200000000016,384.65200000000016,0,long
37378,37382,24.99999999999927,win,384.65200000000016,384.65200000000016,0,long
37413,37417,140.79999999999853,win,384.65200000000016,384.65200000000016,0,long
37426,37430,7.2999999999994545,win,384.65200000000016,384.65200000000016,0,long
37438,37442,48.30000000000082,win,384.65200000000016,384.65200000000016,0,long
37538,37542,-176.4999999999971,loss,384.65200000000016,384.65200000000016,0,long
39359,39363,-169.79999999999637,loss,384.65200000000016,384.65200000000016,0,long
39414,39418,-21.800000000001365,loss,384.65200000000016,384.65200000000016,0,long
39426,39430,2.4000000000016373,win,384.65200000000016,384.65200000000016,0,long
40340,40344,272.2000000000018,win,384.65200000000016,384.65200000000016,0,long
41085,41089,-115.00000000000072,loss,384.65200000000016,384.65200000000016,0,long
41103,41107,-24.000000000001638,loss,384.65200000000016,384.65200000000016,0,long
41246,41250,-108.49999999999982,loss,384.65200000000016,384.65200000000016,0,long
41258,41262,166.50000000000017,win,384.65200000000016,384.65200000000016,0,long
42932,42936,6.800000000002183,win,384.65200000000016,384.65200000000016,0,long
42944,42948,-163.89999999999947,loss,384.65200000000016,384.65200000000016,0,long
