tf,L,mode,k_sl,rr,sl,tp,n,alpha,z,net,detail
D1,3,rev,1.618,1.0,287.5,287.5,190,0.18,0.05,-284,"{'long': (89, 52.8, 50.2, 2.6), 'short': (101, 47.5, 49.5, -2.0)}"
D1,3,cont,1.618,1.0,287.5,287.5,190,0.14,0.04,-970,"{'long': (101, 52.5, 50.2, 2.3), 'short': (89, 47.2, 49.5, -2.3)}"
D1,4,rev,1.618,1.0,287.5,287.5,121,-0.22,-0.05,-1510,"{'long': (54, 51.9, 50.2, 1.7), 'short': (67, 47.8, 49.5, -1.8)}"
D1,3,cont,1.618,1.272,287.5,365.7,179,-0.55,-0.15,-1439,"{'long': (97, 44.3, 44.8, -0.5), 'short': (82, 42.7, 43.3, -0.6)}"
H8,3,rev,1.618,1.0,157.6,157.6,607,-0.39,-0.19,-3582,"{'long': (289, 52.2, 50.0, 2.2), 'short': (318, 45.9, 48.7, -2.7)}"
D1,3,cont,2.058,1.0,365.7,365.7,164,-0.86,-0.22,-1001,"{'long': (92, 52.2, 50.0, 2.2), 'short': (72, 44.4, 49.2, -4.7)}"
H8,5,rev,2.058,1.272,200.4,254.9,164,-1.89,-0.49,-2886,"{'long': (66, 43.9, 44.9, -1.0), 'short': (98, 42.9, 45.3, -2.5)}"
D1,4,cont,1.618,1.272,287.5,365.7,115,-2.42,-0.52,-690,"{'long': (65, 43.1, 44.8, -1.8), 'short': (50, 40.0, 43.3, -3.3)}"
H8,5,rev,2.058,1.0,200.4,200.4,168,-2.06,-0.53,-2858,"{'long': (67, 50.7, 48.9, 1.8), 'short': (101, 45.5, 50.2, -4.6)}"
D1,3,cont,2.058,1.272,365.7,465.2,153,-2.19,-0.54,-776,"{'long': (85, 48.2, 46.0, 2.3), 'short': (68, 38.2, 46.0, -7.7)}"
H8,3,rev,2.058,1.0,200.4,200.4,517,-1.21,-0.55,-4856,"{'long': (252, 51.2, 48.9, 2.3), 'short': (265, 45.7, 50.2, -4.5)}"
H8,3,rev,2.058,1.272,200.4,254.9,478,-1.43,-0.63,-5081,"{'long': (227, 46.7, 44.9, 1.7), 'short': (251, 41.0, 45.3, -4.3)}"
H8,5,rev,1.618,1.272,157.6,200.5,170,-2.65,-0.7,-3329,"{'long': (68, 47.1, 44.8, 2.3), 'short': (102, 37.3, 43.2, -5.9)}"
D1,4,cont,2.058,1.272,365.7,465.2,106,-3.52,-0.73,-971,"{'long': (62, 41.9, 46.0, -4.0), 'short': (44, 43.2, 46.0, -2.8)}"
H8,4,rev,2.058,1.0,200.4,200.4,334,-2.28,-0.83,-4283,"{'long': (157, 48.4, 48.9, -0.5), 'short': (177, 46.3, 50.2, -3.9)}"
D1,4,cont,2.058,1.0,365.7,365.7,108,-4.28,-0.89,-2166,"{'long': (62, 45.2, 50.0, -4.8), 'short': (46, 45.7, 49.2, -3.5)}"
H8,5,rev,1.618,1.0,157.6,157.6,177,-3.46,-0.92,-2896,"{'long': (72, 51.4, 50.0, 1.3), 'short': (105, 41.9, 48.7, -6.7)}"
H8,4,rev,1.618,1.272,157.6,200.5,353,-2.57,-0.97,-5550,"{'long': (164, 44.5, 44.8, -0.3), 'short': (189, 38.6, 43.2, -4.6)}"
H8,4,rev,1.618,1.0,157.6,157.6,372,-2.8,-1.08,-5475,"{'long': (173, 50.9, 50.0, 0.8), 'short': (199, 42.7, 48.7, -5.9)}"
H12,4,rev,2.058,1.0,247.7,247.7,214,-4.17,-1.22,-4884,"{'long': (106, 46.2, 51.0, -4.8), 'short': (108, 44.4, 48.0, -3.6)}"
H12,4,rev,1.618,1.0,194.7,194.7,232,-4.06,-1.24,-4866,"{'long': (113, 45.1, 49.5, -4.3), 'short': (119, 45.4, 49.2, -3.8)}"
H12,4,rev,2.058,1.272,247.7,315.1,203,-4.39,-1.26,-5515,"{'long': (100, 41.0, 45.6, -4.6), 'short': (103, 39.8, 44.0, -4.2)}"
H8,4,rev,2.058,1.272,200.4,254.9,312,-3.81,-1.35,-5824,"{'long': (148, 43.2, 44.9, -1.7), 'short': (164, 39.6, 45.3, -5.7)}"
H12,4,rev,1.618,1.272,194.7,247.7,227,-4.58,-1.39,-5225,"{'long': (110, 40.0, 45.6, -5.6), 'short': (117, 39.3, 42.9, -3.6)}"
H12,3,rev,2.058,1.272,247.7,315.1,317,-4.1,-1.47,-9505,"{'long': (159, 42.1, 45.6, -3.4), 'short': (158, 39.2, 44.0, -4.8)}"
H12,3,rev,2.058,1.0,247.7,247.7,347,-3.98,-1.48,-8149,"{'long': (174, 46.6, 51.0, -4.4), 'short': (173, 44.5, 48.0, -3.5)}"
H12,5,rev,1.618,1.0,194.7,194.7,129,-6.68,-1.52,-3982,"{'long': (61, 47.5, 49.5, -1.9), 'short': (68, 38.2, 49.2, -10.9)}"
H12,3,rev,1.618,1.272,194.7,247.7,373,-4.32,-1.68,-8449,"{'long': (187, 39.0, 45.6, -6.6), 'short': (186, 40.9, 42.9, -2.0)}"
H12,3,rev,1.618,1.0,194.7,194.7,418,-4.58,-1.87,-9212,"{'long': (208, 45.7, 49.5, -3.8), 'short': (210, 43.8, 49.2, -5.4)}"
H12,5,rev,1.618,1.272,194.7,247.7,128,-11.39,-2.59,-6593,"{'long': (61, 41.0, 45.6, -4.6), 'short': (67, 25.4, 42.9, -17.5)}"
H12,5,rev,2.058,1.272,247.7,315.1,123,-12.23,-2.73,-8621,"{'long': (58, 41.4, 45.6, -4.2), 'short': (65, 24.6, 44.0, -19.4)}"
H12,5,rev,2.058,1.0,247.7,247.7,124,-13.15,-2.93,-7699,"{'long': (59, 44.1, 51.0, -6.9), 'short': (65, 29.2, 48.0, -18.8)}"
