entry_bar,exit_bar,outcome,pnl_pip,sl_pip,tp_pip,direction
252,254,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
258,260,win,20.70389248511392,13.802594990075946,20.70389248511392,long
261,266,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
267,271,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
275,292,win,20.70389248511392,13.802594990075946,20.70389248511392,long
293,300,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
301,302,win,20.70389248511392,13.802594990075946,20.70389248511392,short
303,305,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
306,316,win,20.70389248511392,13.802594990075946,20.70389248511392,short
326,348,win,20.70389248511392,13.802594990075946,20.70389248511392,long
350,379,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
380,409,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
412,462,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
471,483,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
486,490,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
497,502,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
507,511,win,20.70389248511392,13.802594990075946,20.70389248511392,short
521,526,win,20.70389248511392,13.802594990075946,20.70389248511392,long
527,535,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
536,544,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
547,562,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
563,567,win,20.70389248511392,13.802594990075946,20.70389248511392,short
575,580,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
586,588,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
591,593,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
598,599,win,20.70389248511392,13.802594990075946,20.70389248511392,long
603,604,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
608,619,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
623,624,win,20.70389248511392,13.802594990075946,20.70389248511392,short
627,630,win,20.70389248511392,13.802594990075946,20.70389248511392,short
636,637,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
645,653,win,20.70389248511392,13.802594990075946,20.70389248511392,long
654,696,win,20.70389248511392,13.802594990075946,20.70389248511392,long
706,708,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
712,734,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
738,743,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
744,760,win,20.70389248511392,13.802594990075946,20.70389248511392,long
764,819,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
822,839,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
840,842,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
847,858,win,20.70389248511392,13.802594990075946,20.70389248511392,long
863,868,win,20.70389248511392,13.802594990075946,20.70389248511392,short
870,872,win,20.70389248511392,13.802594990075946,20.70389248511392,short
881,885,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
892,894,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
898,901,win,20.70389248511392,13.802594990075946,20.70389248511392,short
907,908,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
914,915,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
923,926,win,20.70389248511392,13.802594990075946,20.70389248511392,short
935,936,win,20.70389248511392,13.802594990075946,20.70389248511392,long
938,940,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
944,947,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
950,954,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
959,963,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
966,968,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
972,975,win,20.70389248511392,13.802594990075946,20.70389248511392,long
978,981,win,20.70389248511392,13.802594990075946,20.70389248511392,short
983,987,win,20.70389248511392,13.802594990075946,20.70389248511392,short
993,1001,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
1002,1008,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
1009,1011,win,20.70389248511392,13.802594990075946,20.70389248511392,long
1014,1034,win,20.70389248511392,13.802594990075946,20.70389248511392,long
1036,1046,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
1048,1053,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
1056,1059,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
1062,1066,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
1067,1145,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
1148,1166,win,20.70389248511392,13.802594990075946,20.70389248511392,long
1174,1187,win,20.70389248511392,13.802594990075946,20.70389248511392,short
1190,1196,win,20.70389248511392,13.802594990075946,20.70389248511392,long
1200,1210,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
1214,1218,win,20.70389248511392,13.802594990075946,20.70389248511392,short
1226,1232,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
1234,1244,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
1251,1255,win,20.70389248511392,13.802594990075946,20.70389248511392,short
1260,1268,win,20.70389248511392,13.802594990075946,20.70389248511392,long
1272,1274,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
1275,1277,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
1279,1281,win,20.70389248511392,13.802594990075946,20.70389248511392,short
1282,1284,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
1291,1294,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
1303,1307,win,20.70389248511392,13.802594990075946,20.70389248511392,long
1308,1309,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
1315,1321,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
1324,1327,win,20.70389248511392,13.802594990075946,20.70389248511392,short
1328,1403,win,20.70389248511392,13.802594990075946,20.70389248511392,short
1404,1410,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
1413,1417,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
1423,1430,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
1431,1451,win,20.70389248511392,13.802594990075946,20.70389248511392,long
1460,1497,win,20.70389248511392,13.802594990075946,20.70389248511392,short
1506,1508,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
1516,1522,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
1527,1530,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
1532,1545,win,20.70389248511392,13.802594990075946,20.70389248511392,short
1549,1566,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
1567,1569,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
1570,1603,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
1606,1607,win,20.70389248511392,13.802594990075946,20.70389248511392,long
1622,1625,win,20.70389248511392,13.802594990075946,20.70389248511392,short
1632,1636,win,20.70389248511392,13.802594990075946,20.70389248511392,long
1638,1639,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
1646,1648,win,20.70389248511392,13.802594990075946,20.70389248511392,short
1650,1651,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
1653,1655,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
1662,1663,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
1669,1675,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
1678,1681,win,20.70389248511392,13.802594990075946,20.70389248511392,long
1682,1690,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
1691,1693,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
1695,1736,win,20.70389248511392,13.802594990075946,20.70389248511392,long
1740,1743,loss,-13.802594990075946,13.802594990075946,20.70389248511392,long
1744,1747,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
1748,1772,loss,-13.802594990075946,13.802594990075946,20.70389248511392,short
