n,wr,be,lift,z,sl_pip,tp_pip,net_pip,tf,ind,thr,mode,sl_atr,tp_atr
25366,45.56,45.48,0.08,0.25,14.6,17.5,-83068.2,M5,reflex,0.83,reversion,1.87,2.24
23677,48.54,50.0,-1.46,-4.49,10.2,10.2,-85182.3,M5,reflex,1.17,continuation,1.31,1.31
23210,43.86,44.74,-0.87,-2.67,10.2,12.6,-81208.2,M5,reflex,1.17,continuation,1.31,1.62
21343,49.17,50.0,-0.83,-2.42,14.6,14.6,-75585.7,M5,reflex,1.17,continuation,1.87,1.87
20631,45.21,45.48,-0.27,-0.78,14.6,17.5,-69876.2,M5,reflex,1.17,continuation,1.87,2.24
23677,49.42,50.0,-0.58,-1.79,10.2,10.2,-80939.1,M5,reflex,1.17,reversion,1.31,1.31
23037,44.42,44.74,-0.32,-0.97,10.2,12.6,-77687.1,M5,reflex,1.17,reversion,1.31,1.62
21343,49.98,50.0,-0.02,-0.06,14.6,14.6,-70563.3,M5,reflex,1.17,reversion,1.87,1.87
20442,45.8,45.48,0.32,0.92,14.6,17.5,-65362.9,M5,reflex,1.17,reversion,1.87,2.24
16922,47.75,50.0,-2.25,-5.86,10.2,10.2,-63620.3,M5,reflex,1.46,continuation,1.31,1.31
16737,43.17,44.74,-1.56,-4.07,10.2,12.6,-61204.4,M5,reflex,1.46,continuation,1.31,1.62
15910,48.79,50.0,-1.21,-3.04,14.6,14.6,-58109.4,M5,reflex,1.46,continuation,1.87,1.87
15526,44.57,45.48,-0.91,-2.28,14.6,17.5,-55783.4,M5,reflex,1.46,continuation,1.87,2.24
16922,49.85,50.0,-0.15,-0.4,10.2,10.2,-56367.7,M5,reflex,1.46,reversion,1.31,1.31
16670,45.06,44.74,0.33,0.85,10.2,12.6,-53771.4,M5,reflex,1.46,reversion,1.31,1.62
15910,50.36,50.0,0.36,0.92,14.6,14.6,-50809.4,M5,reflex,1.46,reversion,1.87,1.87
15447,45.95,45.48,0.47,1.17,14.6,17.5,-48657.5,M5,reflex,1.46,reversion,1.87,2.24
11153,47.4,50.0,-2.6,-5.5,10.2,10.2,-42731.1,M5,reflex,1.73,continuation,1.31,1.31
11099,43.08,44.74,-1.65,-3.5,10.2,12.6,-40806.9,M5,reflex,1.73,continuation,1.31,1.62
10813,49.14,50.0,-0.86,-1.8,14.6,14.6,-38413.1,M5,reflex,1.73,continuation,1.87,1.87
10664,45.11,45.48,-0.37,-0.76,14.6,17.5,-36452.5,M5,reflex,1.73,continuation,1.87,2.24
11153,49.86,50.0,-0.14,-0.29,10.2,10.2,-37121.1,M5,reflex,1.73,reversion,1.31,1.31
11064,44.92,44.74,0.18,0.39,10.2,12.6,-36048.0,M5,reflex,1.73,reversion,1.31,1.62
10813,49.86,50.0,-0.14,-0.3,14.6,14.6,-36135.5,M5,reflex,1.73,reversion,1.87,1.87
10626,45.53,45.48,0.05,0.1,14.6,17.5,-34907.6,M5,reflex,1.73,reversion,1.87,2.24
5003,47.23,50.0,-2.77,-3.92,10.2,10.2,-19335.3,M5,reflex,2.1,continuation,1.31,1.31
4997,42.61,44.74,-2.13,-3.03,10.2,12.6,-18918.3,M5,reflex,2.1,continuation,1.31,1.62
4963,48.72,50.0,-1.28,-1.8,14.6,14.6,-18232.1,M5,reflex,2.1,continuation,1.87,1.87
4939,45.21,45.48,-0.27,-0.38,14.6,17.5,-16728.8,M5,reflex,2.1,continuation,1.87,2.24
