n,wr,be,lift,z,sl_pip,tp_pip,net_pip,tf,ind,thr,mode,sl_atr,tp_atr
844,50.36,50.0,0.36,0.21,28.2,28.2,-2616.0,M30,reflex,2.1,reversion,1.31,1.31
843,45.91,44.76,1.15,0.67,28.2,34.8,-2173.5,M30,reflex,2.1,reversion,1.31,1.62
836,49.28,50.0,-0.72,-0.42,40.2,40.2,-3241.2,M30,reflex,2.1,reversion,1.87,1.87
826,44.07,45.48,-1.41,-0.81,40.2,48.2,-3753.4,M30,reflex,2.1,reversion,1.87,2.24
1814,49.72,50.0,-0.28,-0.23,40.8,40.8,-6379.7,H1,trendflex,0.83,continuation,1.31,1.31
1788,44.91,44.74,0.17,0.15,40.8,50.4,-5612.3,H1,trendflex,0.83,continuation,1.31,1.62
1683,51.16,50.0,1.16,0.95,58.2,58.2,-3237.8,H1,trendflex,0.83,continuation,1.87,1.87
1632,46.75,45.5,1.25,1.01,58.2,69.7,-2664.7,H1,trendflex,0.83,continuation,1.87,2.24
1814,48.13,50.0,-1.87,-1.6,40.8,40.8,-8775.1,H1,trendflex,0.83,reversion,1.31,1.31
1789,42.93,44.74,-1.81,-1.54,40.8,50.4,-8807.1,H1,trendflex,0.83,reversion,1.31,1.62
1683,47.59,50.0,-2.41,-1.97,58.2,58.2,-10198.0,H1,trendflex,0.83,reversion,1.87,1.87
1645,43.65,45.5,-1.86,-1.51,58.2,69.7,-9671.9,H1,trendflex,0.83,reversion,1.87,2.24
1361,49.96,50.0,-0.04,-0.03,40.8,40.8,-4501.3,H1,trendflex,1.17,continuation,1.31,1.31
1347,46.1,44.74,1.37,1.01,40.8,50.4,-2706.3,H1,trendflex,1.17,continuation,1.31,1.62
1311,52.4,50.0,2.4,1.74,58.2,58.2,-510.3,H1,trendflex,1.17,continuation,1.87,1.87
1285,48.48,45.5,2.98,2.14,58.2,69.7,745.4,H1,trendflex,1.17,continuation,1.87,2.24
1361,47.24,50.0,-2.76,-2.03,40.8,40.8,-7582.1,H1,trendflex,1.17,reversion,1.31,1.31
1353,41.83,44.74,-2.9,-2.15,40.8,50.4,-8049.1,H1,trendflex,1.17,reversion,1.31,1.62
1311,46.15,50.0,-3.85,-2.79,58.2,58.2,-10121.1,H1,trendflex,1.17,reversion,1.87,1.87
1294,42.35,45.5,-3.15,-2.28,58.2,69.7,-9655.4,H1,trendflex,1.17,reversion,1.87,2.24
989,50.76,50.0,0.76,0.48,40.8,40.8,-2651.7,H1,trendflex,1.46,continuation,1.31,1.31
986,45.64,44.74,0.9,0.57,40.8,50.4,-2476.0,H1,trendflex,1.46,continuation,1.31,1.62
979,53.83,50.0,3.83,2.4,58.2,58.2,1081.3,H1,trendflex,1.46,continuation,1.87,1.87
974,48.56,45.5,3.06,1.92,58.2,69.7,287.7,H1,trendflex,1.46,continuation,1.87,2.24
989,45.8,50.0,-4.2,-2.64,40.8,40.8,-6650.1,H1,trendflex,1.46,reversion,1.31,1.31
989,39.33,44.74,-5.4,-3.42,40.8,50.4,-8150.6,H1,trendflex,1.46,reversion,1.31,1.62
979,44.84,50.0,-5.16,-3.23,58.2,58.2,-9055.9,H1,trendflex,1.46,reversion,1.87,1.87
974,41.07,45.5,-4.44,-2.78,58.2,69.7,-8968.5,H1,trendflex,1.46,reversion,1.87,2.24
688,49.42,50.0,-0.58,-0.3,40.8,40.8,-2596.8,H1,trendflex,1.73,continuation,1.31,1.31
687,44.1,44.74,-0.63,-0.33,40.8,50.4,-2722.4,H1,trendflex,1.73,continuation,1.31,1.62
684,52.63,50.0,2.63,1.38,58.2,58.2,-133.0,H1,trendflex,1.73,continuation,1.87,1.87
681,48.6,45.5,3.1,1.62,58.2,69.7,329.7,H1,trendflex,1.73,continuation,1.87,2.24
688,47.67,50.0,-2.33,-1.22,40.8,40.8,-3576.0,H1,trendflex,1.73,reversion,1.31,1.31
687,41.63,44.74,-3.11,-1.64,40.8,50.4,-4213.5,H1,trendflex,1.73,reversion,1.31,1.62
684,46.35,50.0,-3.65,-1.91,58.2,58.2,-5196.2,H1,trendflex,1.73,reversion,1.87,1.87
684,41.52,45.5,-3.98,-2.09,58.2,69.7,-6074.6,H1,trendflex,1.73,reversion,1.87,2.24
367,53.13,50.0,3.13,1.2,40.8,40.8,-272.7,H1,trendflex,2.1,continuation,1.31,1.31
367,46.05,44.74,1.31,0.51,40.8,50.4,-771.9,H1,trendflex,2.1,continuation,1.31,1.62
367,54.22,50.0,4.22,1.62,58.2,58.2,600.9,H1,trendflex,2.1,continuation,1.87,1.87
366,51.09,45.5,5.59,2.15,58.2,69.7,1404.3,H1,trendflex,2.1,continuation,1.87,2.24
367,43.32,50.0,-6.68,-2.56,40.8,40.8,-3210.3,H1,trendflex,2.1,reversion,1.31,1.31
367,38.42,44.74,-6.32,-2.43,40.8,50.4,-3325.5,H1,trendflex,2.1,reversion,1.31,1.62
367,44.41,50.0,-5.59,-2.14,58.2,58.2,-3605.1,H1,trendflex,2.1,reversion,1.87,1.87
367,40.33,45.5,-5.18,-1.99,58.2,69.7,-3683.4,H1,trendflex,2.1,reversion,1.87,2.24
2700,50.33,50.0,0.33,0.35,40.8,40.8,-8175.6,H1,reflex,0.83,continuation,1.31,1.31
2610,45.29,44.74,0.55,0.57,40.8,50.4,-7299.5,H1,reflex,0.83,continuation,1.31,1.62
2341,50.49,50.0,0.49,0.48,58.2,58.2,-6210.5,H1,reflex,0.83,continuation,1.87,1.87
2254,47.07,45.5,1.57,1.49,58.2,69.7,-2986.1,H1,reflex,0.83,continuation,1.87,2.24
2700,47.41,50.0,-2.59,-2.69,40.8,40.8,-14622.0,H1,reflex,0.83,reversion,1.31,1.31
2615,42.68,44.74,-2.06,-2.12,40.8,50.4,-13553.7,H1,reflex,0.83,reversion,1.31,1.62
2341,48.36,50.0,-1.64,-1.59,58.2,58.2,-12382.9,H1,reflex,0.83,reversion,1.87,1.87
2206,44.11,45.5,-1.4,-1.32,58.2,69.7,-11558.5,H1,reflex,0.83,reversion,1.87,2.24
2074,51.16,50.0,1.16,1.05,40.8,40.8,-4885.8,H1,reflex,1.17,continuation,1.31,1.31
2032,45.96,44.74,1.23,1.11,40.8,50.4,-4390.3,H1,reflex,1.17,continuation,1.31,1.62
1885,52.73,50.0,2.73,2.37,58.2,58.2,-42.7,H1,reflex,1.17,continuation,1.87,1.87
1825,48.88,45.5,3.37,2.89,58.2,69.7,1542.9,H1,reflex,1.17,continuation,1.87,2.24
2074,46.48,50.0,-3.52,-3.21,40.8,40.8,-12801.0,H1,reflex,1.17,reversion,1.31,1.31
2014,41.26,44.74,-3.48,-3.14,40.8,50.4,-13030.2,H1,reflex,1.17,reversion,1.31,1.62
1885,46.21,50.0,-3.79,-3.29,58.2,58.2,-14493.5,H1,reflex,1.17,reversion,1.87,1.87
1813,41.7,45.5,-3.81,-3.25,58.2,69.7,-14681.2,H1,reflex,1.17,reversion,1.87,2.24
1470,49.18,50.0,-0.82,-0.63,40.8,40.8,-5830.2,H1,reflex,1.46,continuation,1.31,1.31
1452,44.56,44.74,-0.18,-0.14,40.8,50.4,-5026.8,H1,reflex,1.46,continuation,1.31,1.62
1366,52.05,50.0,2.05,1.52,58.2,58.2,-1306.7,H1,reflex,1.46,continuation,1.87,1.87
1332,47.67,45.5,2.17,1.59,58.2,69.7,-1075.1,H1,reflex,1.46,continuation,1.87,2.24
1470,48.23,50.0,-1.77,-1.36,40.8,40.8,-6972.6,H1,reflex,1.46,reversion,1.31,1.31
1442,41.96,44.74,-2.78,-2.12,40.8,50.4,-8416.2,H1,reflex,1.46,reversion,1.31,1.62
1366,46.71,50.0,-3.29,-2.44,58.2,58.2,-9687.7,H1,reflex,1.46,reversion,1.87,1.87
1337,42.93,45.5,-2.57,-1.89,58.2,69.7,-9102.2,H1,reflex,1.46,reversion,1.87,2.24
925,49.73,50.0,-0.27,-0.16,40.8,40.8,-3256.5,H1,reflex,1.73,continuation,1.31,1.31
912,44.85,44.74,0.11,0.07,40.8,50.4,-2885.1,H1,reflex,1.73,continuation,1.31,1.62
869,52.7,50.0,2.7,1.59,58.2,58.2,-209.7,H1,reflex,1.73,continuation,1.87,1.87
865,48.09,45.5,2.59,1.53,58.2,69.7,75.1,H1,reflex,1.73,continuation,1.87,2.24
925,47.46,50.0,-2.54,-1.55,40.8,40.8,-4970.1,H1,reflex,1.73,reversion,1.31,1.31
911,41.05,44.74,-3.68,-2.24,40.8,50.4,-6066.3,H1,reflex,1.73,reversion,1.31,1.62
869,46.14,50.0,-3.86,-2.27,58.2,58.2,-6573.3,H1,reflex,1.73,reversion,1.87,1.87
855,42.22,45.5,-3.28,-1.93,58.2,69.7,-6338.2,H1,reflex,1.73,reversion,1.87,2.24
356,54.21,50.0,4.21,1.59,40.8,40.8,49.2,H1,reflex,2.1,continuation,1.31,1.31
353,48.44,44.74,3.71,1.4,40.8,50.4,27.9,H1,reflex,2.1,continuation,1.31,1.62
345,54.49,50.0,4.49,1.67,58.2,58.2,634.2,H1,reflex,2.1,continuation,1.87,1.87
344,52.03,45.5,6.53,2.43,58.2,69.7,1645.2,H1,reflex,2.1,continuation,1.87,2.24
356,43.26,50.0,-6.74,-2.54,40.8,40.8,-3133.2,H1,reflex,2.1,reversion,1.31,1.31
353,36.54,44.74,-8.19,-3.1,40.8,50.4,-3802.5,H1,reflex,2.1,reversion,1.31,1.62
345,44.93,50.0,-5.07,-1.88,58.2,58.2,-3144.0,H1,reflex,2.1,reversion,1.87,1.87
344,41.28,45.5,-4.23,-1.57,58.2,69.7,-2997.1,H1,reflex,2.1,reversion,1.87,2.24
512,48.83,50.0,-1.17,-0.53,84.0,84.0,-1372.5,H4,trendflex,0.83,continuation,1.31,1.31
509,45.58,44.73,0.85,0.39,84.0,103.8,-447.7,H4,trendflex,0.83,continuation,1.31,1.62
494,50.2,50.0,0.2,0.09,119.8,119.8,1274.1,H4,trendflex,0.83,continuation,1.87,1.87
488,47.75,45.48,2.26,1.0,119.8,143.6,2229.7,H4,trendflex,0.83,continuation,1.87,2.24
512,50.0,50.0,0.0,0.0,84.0,84.0,-2510.7,H4,trendflex,0.83,reversion,1.31,1.31
510,46.27,44.73,1.55,0.7,84.0,103.8,-2368.0,H4,trendflex,0.83,reversion,1.31,1.62
494,48.38,50.0,-1.62,-0.72,119.8,119.8,-5013.7,H4,trendflex,0.83,reversion,1.87,1.87
491,46.64,45.48,1.16,0.52,119.8,143.6,-5350.1,H4,trendflex,0.83,reversion,1.87,2.24
386,51.81,50.0,1.81,0.71,84.0,84.0,310.3,H4,trendflex,1.17,continuation,1.31,1.31
386,48.45,44.73,3.72,1.47,84.0,103.8,881.0,H4,trendflex,1.17,continuation,1.31,1.62
385,50.91,50.0,0.91,0.36,119.8,119.8,551.9,H4,trendflex,1.17,continuation,1.87,1.87
380,48.95,45.48,3.47,1.36,119.8,143.6,952.5,H4,trendflex,1.17,continuation,1.87,2.24
386,47.15,50.0,-2.85,-1.12,84.0,84.0,-3361.9,H4,trendflex,1.17,reversion,1.31,1.31
386,44.3,44.73,-0.43,-0.17,84.0,103.8,-2811.9,H4,trendflex,1.17,reversion,1.31,1.62
385,48.31,50.0,-1.69,-0.66,119.8,119.8,-3332.5,H4,trendflex,1.17,reversion,1.87,1.87
385,45.71,45.48,0.23,0.09,119.8,143.6,-3452.9,H4,trendflex,1.17,reversion,1.87,2.24
270,52.96,50.0,2.96,0.97,84.0,84.0,519.4,H4,trendflex,1.46,continuation,1.31,1.31
269,47.21,44.73,2.48,0.82,84.0,103.8,-246.7,H4,trendflex,1.46,continuation,1.31,1.62
268,51.12,50.0,1.12,0.37,119.8,119.8,81.8,H4,trendflex,1.46,continuation,1.87,1.87
265,49.06,45.48,3.57,1.17,119.8,143.6,126.1,H4,trendflex,1.46,continuation,1.87,2.24
270,43.33,50.0,-6.67,-2.19,84.0,84.0,-3981.4,H4,trendflex,1.46,reversion,1.31,1.31
270,40.37,44.73,-4.36,-1.44,84.0,103.8,-3718.8,H4,trendflex,1.46,reversion,1.31,1.62
268,46.64,50.0,-3.36,-1.1,119.8,119.8,-2569.4,H4,trendflex,1.46,reversion,1.87,1.87
268,44.03,45.48,-1.45,-0.48,119.8,143.6,-2700.3,H4,trendflex,1.46,reversion,1.87,2.24
183,55.74,50.0,5.74,1.55,84.0,84.0,1380.4,H4,trendflex,1.73,continuation,1.31,1.31
182,48.9,44.73,4.17,1.13,84.0,103.8,987.0,H4,trendflex,1.73,continuation,1.31,1.62
182,50.0,50.0,0.0,0.0,119.8,119.8,295.6,H4,trendflex,1.73,continuation,1.87,1.87
180,46.11,45.48,0.63,0.17,119.8,143.6,-179.1,H4,trendflex,1.73,continuation,1.87,2.24
183,43.17,50.0,-6.83,-1.85,84.0,84.0,-2756.2,H4,trendflex,1.73,reversion,1.31,1.31
183,38.25,44.73,-6.48,-1.76,84.0,103.8,-3079.7,H4,trendflex,1.73,reversion,1.31,1.62
182,48.35,50.0,-1.65,-0.44,119.8,119.8,-1496.8,H4,trendflex,1.73,reversion,1.87,1.87
182,46.7,45.48,1.22,0.33,119.8,143.6,-1666.6,H4,trendflex,1.73,reversion,1.87,2.24
82,51.22,50.0,1.22,0.22,84.0,84.0,-3.2,H4,trendflex,2.1,continuation,1.31,1.31
82,45.12,44.73,0.39,0.07,84.0,103.8,-425.1,H4,trendflex,2.1,continuation,1.31,1.62
82,52.44,50.0,2.44,0.44,119.8,119.8,250.3,H4,trendflex,2.1,continuation,1.87,1.87
82,47.56,45.48,2.08,0.38,119.8,143.6,-144.1,H4,trendflex,2.1,continuation,1.87,2.24
82,43.9,50.0,-6.1,-1.1,84.0,84.0,-1042.0,H4,trendflex,2.1,reversion,1.31,1.31
82,40.24,44.73,-4.48,-0.82,84.0,103.8,-979.1,H4,trendflex,2.1,reversion,1.31,1.62
82,42.68,50.0,-7.32,-1.33,119.8,119.8,-1270.7,H4,trendflex,2.1,reversion,1.87,1.87
82,37.8,45.48,-7.68,-1.4,119.8,143.6,-1929.8,H4,trendflex,2.1,reversion,1.87,2.24
780,48.85,50.0,-1.15,-0.64,84.0,84.0,-2817.4,H4,reflex,0.83,continuation,1.31,1.31
769,44.21,44.73,-0.52,-0.29,84.0,103.8,-3056.7,H4,reflex,0.83,continuation,1.31,1.62
732,49.45,50.0,-0.55,-0.3,119.8,119.8,-2345.3,H4,reflex,0.83,continuation,1.87,1.87
723,47.16,45.48,1.68,0.91,119.8,143.6,-1824.4,H4,reflex,0.83,continuation,1.87,2.24
780,48.97,50.0,-1.03,-0.57,84.0,84.0,-4178.6,H4,reflex,0.83,reversion,1.31,1.31
764,44.63,44.73,-0.09,-0.05,84.0,103.8,-4116.6,H4,reflex,0.83,reversion,1.31,1.62
732,49.32,50.0,-0.68,-0.37,119.8,119.8,-3204.7,H4,reflex,0.83,reversion,1.87,1.87
716,46.09,45.48,0.61,0.33,119.8,143.6,-3741.6,H4,reflex,0.83,reversion,1.87,2.24
577,49.91,50.0,-0.09,-0.04,84.0,84.0,-1321.0,H4,reflex,1.17,continuation,1.31,1.31
574,45.3,44.73,0.57,0.27,84.0,103.8,-1534.5,H4,reflex,1.17,continuation,1.31,1.62
556,49.64,50.0,-0.36,-0.17,119.8,119.8,-300.9,H4,reflex,1.17,continuation,1.87,1.87
553,47.38,45.48,1.9,0.9,119.8,143.6,175.1,H4,reflex,1.17,continuation,1.87,2.24
577,49.22,50.0,-0.78,-0.37,84.0,84.0,-2823.2,H4,reflex,1.17,reversion,1.31,1.31
573,45.38,44.73,0.65,0.31,84.0,103.8,-2366.4,H4,reflex,1.17,reversion,1.31,1.62
556,48.92,50.0,-1.08,-0.51,119.8,119.8,-3847.9,H4,reflex,1.17,reversion,1.87,1.87
548,47.08,45.48,1.6,0.75,119.8,143.6,-3577.4,H4,reflex,1.17,reversion,1.87,2.24
393,47.58,50.0,-2.42,-0.96,84.0,84.0,-1839.2,H4,reflex,1.46,continuation,1.31,1.31
392,45.15,44.73,0.42,0.17,84.0,103.8,-792.9,H4,reflex,1.46,continuation,1.31,1.62
387,49.1,50.0,-0.9,-0.36,119.8,119.8,-49.5,H4,reflex,1.46,continuation,1.87,1.87
386,47.67,45.48,2.19,0.86,119.8,143.6,1006.9,H4,reflex,1.46,continuation,1.87,2.24
393,50.38,50.0,0.38,0.15,84.0,84.0,-1762.6,H4,reflex,1.46,reversion,1.31,1.31
390,46.67,44.73,1.94,0.77,84.0,103.8,-1692.9,H4,reflex,1.46,reversion,1.31,1.62
387,49.1,50.0,-0.9,-0.36,119.8,119.8,-3223.5,H4,reflex,1.46,reversion,1.87,1.87
385,47.01,45.48,1.53,0.6,119.8,143.6,-3187.1,H4,reflex,1.46,reversion,1.87,2.24
246,46.34,50.0,-3.66,-1.15,84.0,84.0,-2240.9,H4,reflex,1.73,continuation,1.31,1.31
245,44.9,44.73,0.17,0.05,84.0,103.8,-1168.1,H4,reflex,1.73,continuation,1.31,1.62
243,47.74,50.0,-2.26,-0.71,119.8,119.8,-1716.3,H4,reflex,1.73,continuation,1.87,1.87
243,46.09,45.48,0.61,0.19,119.8,143.6,-1087.3,H4,reflex,1.73,continuation,1.87,2.24
246,52.03,50.0,2.03,0.64,84.0,84.0,-54.7,H4,reflex,1.73,reversion,1.31,1.31
246,46.34,44.73,1.61,0.51,84.0,103.8,-596.9,H4,reflex,1.73,reversion,1.31,1.62
243,50.62,50.0,0.62,0.19,119.8,119.8,-606.3,H4,reflex,1.73,reversion,1.87,1.87
242,48.35,45.48,2.86,0.9,119.8,143.6,-536.2,H4,reflex,1.73,reversion,1.87,2.24
95,44.21,50.0,-5.79,-1.13,84.0,84.0,-1261.5,H4,reflex,2.1,continuation,1.31,1.31
95,42.11,44.73,-2.62,-0.51,84.0,103.8,-1006.8,H4,reflex,2.1,continuation,1.31,1.62
95,50.53,50.0,0.53,0.1,119.8,119.8,-388.9,H4,reflex,2.1,continuation,1.87,1.87
95,47.37,45.48,1.89,0.37,119.8,143.6,-632.6,H4,reflex,2.1,continuation,1.87,2.24
95,52.63,50.0,2.63,0.51,84.0,84.0,130.5,H4,reflex,2.1,reversion,1.31,1.31
95,47.37,44.73,2.64,0.52,84.0,103.8,5.4,H4,reflex,2.1,reversion,1.31,1.62
95,49.47,50.0,-0.53,-0.1,119.8,119.8,-238.1,H4,reflex,2.1,reversion,1.87,1.87
95,47.37,45.48,1.89,0.37,119.8,143.6,-9.9,H4,reflex,2.1,reversion,1.87,2.24
