tf,sigset,thr,sl_atr,tp_atr,sl_pip,tp_pip,n,wr,be,lift,z,net_pip
H4,trendflex,1.61,1.87,2.61,119.8,167.3,211,46.92,41.73,5.19,1.53,755.8
H4,trendflex,1.61,1.53,1.91,98.1,122.4,216,50.46,44.49,5.97,1.77,1434.2
H4,trendflex,1.61,2.23,2.68,142.9,171.7,211,50.71,45.42,5.29,1.54,1375.8
H4,trendflex,1.83,1.87,1.87,119.8,119.8,154,53.25,50.0,3.25,0.81,670.3
H4,trendflex,1.83,1.87,2.24,119.8,143.6,154,49.35,45.48,3.87,0.96,809.7
H4,trendflex,1.83,1.87,2.61,119.8,167.3,152,45.39,41.73,3.67,0.92,565.2
H4,trendflex,1.83,1.53,1.91,98.1,122.4,154,47.4,44.49,2.91,0.73,276.4
H4,trendflex,1.83,2.23,2.68,142.9,171.7,152,48.68,45.42,3.26,0.81,1158.4
H4,trendflex,2.07,1.87,1.87,119.8,119.8,90,54.44,50.0,4.44,0.84,590.9
H4,trendflex,2.07,1.87,2.24,119.8,143.6,90,46.67,45.48,1.18,0.23,-140.0
H4,trendflex,2.07,1.87,2.61,119.8,167.3,90,43.33,41.73,1.61,0.31,-649.0
H4,trendflex,2.07,1.53,1.91,98.1,122.4,90,48.89,44.49,4.4,0.84,326.8
H4,trendflex,2.07,2.23,2.68,142.9,171.7,90,50.0,45.42,4.58,0.87,657.3
H4,reflex,0.97,1.87,1.87,119.8,119.8,615,52.03,50.0,2.03,1.01,248.9
H4,reflex,0.97,1.87,2.24,119.8,143.6,588,48.3,45.48,2.82,1.37,249.1
H4,reflex,0.97,1.87,2.61,119.8,167.3,568,44.54,41.73,2.81,1.36,-1807.4
H4,reflex,0.97,1.53,1.91,98.1,122.4,634,47.32,44.49,2.83,1.43,198.0
H4,reflex,0.97,2.23,2.68,142.9,171.7,543,48.07,45.42,2.64,1.24,-169.8
H4,reflex,1.17,1.87,1.87,119.8,119.8,515,52.82,50.0,2.82,1.28,1676.2
