tf,sig,sl_atr,tp_atr,sl,tp,n,alpha,z_alpha,two_sided,net,L,S
M30,er29@0.31,1.87,1.87,53.6,53.6,1200,1.19,0.83,False,-3049.6,"(628, 53.03, 3.72, np.float64(1.86))","(572, 48.08, -1.58, np.float64(-0.75))"
M30,er29@0.31,1.87,2.24,53.6,64.2,1134,1.49,1.01,False,-2025.5,"(594, 48.82, 3.29, np.float64(1.61))","(540, 44.63, -0.49, np.float64(-0.23))"
M30,er29@0.31,2.23,2.68,63.9,76.8,1032,1.65,1.06,False,-2054.2,"(539, 49.54, 3.93, np.float64(1.83))","(493, 43.0, -0.85, np.float64(-0.38))"
M30,er29@0.31,1.53,1.91,43.9,54.7,1231,1.73,1.22,False,-2844.1,"(645, 47.44, 3.56, np.float64(1.82))","(586, 43.34, -0.29, np.float64(-0.14))"
M30,er29@0.42,1.87,1.87,53.6,53.6,652,3.14,1.6,True,-276.4,"(362, 52.76, 3.45, np.float64(1.31))","(290, 52.41, 2.76, np.float64(0.94))"
M30,er29@0.42,1.87,2.24,53.6,64.2,626,3.85,1.94,True,672.1,"(347, 48.99, 3.46, np.float64(1.3))","(279, 49.46, 4.34, np.float64(1.46))"
M30,er29@0.42,2.23,2.68,63.9,76.8,586,5.02,2.45,True,1615.7,"(320, 49.38, 3.77, np.float64(1.35))","(266, 50.38, 6.53, np.float64(2.15))"
M30,er29@0.42,1.53,1.91,43.9,54.7,662,4.57,2.37,True,305.6,"(367, 48.5, 4.62, np.float64(1.78))","(295, 48.14, 4.5, np.float64(1.56))"
M30,er29@0.53,1.87,1.87,53.6,53.6,244,5.88,1.84,True,538.7,"(144, 55.56, 6.25, np.float64(1.5))","(100, 55.0, 5.35, np.float64(1.07))"
M30,er29@0.53,1.87,2.24,53.6,64.2,234,6.35,1.95,True,878.9,"(138, 53.62, 8.1, np.float64(1.91))","(96, 48.96, 3.84, np.float64(0.76))"
M30,er29@0.53,2.23,2.68,63.9,76.8,225,5.32,1.6,True,706.2,"(135, 54.07, 8.47, np.float64(1.97))","(90, 44.44, 0.59, np.float64(0.11))"
M30,er29@0.53,1.53,1.91,43.9,54.7,247,6.42,2.04,True,568.0,"(145, 51.03, 7.16, np.float64(1.74))","(102, 49.02, 5.38, np.float64(1.1))"
M30,er47@0.31,1.87,1.87,53.6,53.6,567,2.58,1.23,False,-585.5,"(334, 56.29, 6.98, np.float64(2.55))","(233, 45.92, -3.73, np.float64(-1.14))"
M30,er47@0.31,1.87,2.24,53.6,64.2,544,2.99,1.4,False,41.7,"(319, 52.35, 6.82, np.float64(2.45))","(225, 42.67, -2.46, np.float64(-0.74))"
M30,er47@0.31,2.23,2.68,63.9,76.8,506,4.16,1.88,True,922.0,"(289, 51.56, 5.95, np.float64(2.03))","(217, 45.62, 1.77, np.float64(0.53))"
M30,er47@0.31,1.53,1.91,43.9,54.7,587,2.22,1.09,False,-1084.4,"(346, 49.71, 5.83, np.float64(2.19))","(241, 40.66, -2.97, np.float64(-0.93))"
M30,er47@0.42,1.87,1.87,53.6,53.6,243,0.76,0.23,True,-748.3,"(145, 49.66, 0.35, np.float64(0.08))","(98, 51.02, 1.37, np.float64(0.27))"
M30,er47@0.42,1.87,2.24,53.6,64.2,235,2.72,0.84,True,-114.4,"(139, 48.2, 2.67, np.float64(0.63))","(96, 47.92, 2.79, np.float64(0.55))"
M30,er47@0.42,2.23,2.68,63.9,76.8,220,2.39,0.71,True,-272.4,"(129, 48.84, 3.23, np.float64(0.74))","(91, 45.05, 1.21, np.float64(0.23))"
M30,er47@0.42,1.53,1.91,43.9,54.7,248,0.57,0.18,False,-859.6,"(148, 43.24, -0.63, np.float64(-0.16))","(100, 46.0, 2.36, np.float64(0.48))"
H1,elder_impulse,1.87,1.87,77.7,77.7,1727,-1.15,-0.95,False,-10307.4,"(876, 48.17, -2.49, np.float64(-1.47))","(851, 48.3, 0.23, np.float64(0.14))"
H1,elder_impulse,1.87,2.24,77.7,93.0,1591,-0.66,-0.53,False,-8733.4,"(806, 44.04, -2.46, np.float64(-1.4))","(785, 44.59, 1.19, np.float64(0.67))"
H1,elder_impulse,2.23,2.68,92.6,111.3,1312,-0.16,-0.11,False,-5586.4,"(648, 45.22, -1.44, np.float64(-0.73))","(664, 45.03, 1.09, np.float64(0.57))"
H1,elder_impulse,1.53,1.91,63.5,79.3,1954,0.27,0.26,False,-9550.4,"(995, 42.91, -1.33, np.float64(-0.84))","(959, 43.8, 1.94, np.float64(1.22))"
H1,er11@0.31,1.87,1.87,77.7,77.7,1296,0.76,0.55,False,-4361.1,"(664, 50.0, -0.66, np.float64(-0.34))","(632, 50.32, 2.25, np.float64(1.13))"
H1,er11@0.31,1.87,2.24,77.7,93.0,1214,1.3,0.92,False,-2787.1,"(623, 46.07, -0.44, np.float64(-0.22))","(591, 46.53, 3.13, np.float64(1.54))"
H1,er11@0.31,2.23,2.68,92.6,111.3,1039,0.7,0.45,False,-2063.3,"(523, 46.46, -0.19, np.float64(-0.09))","(516, 45.54, 1.6, np.float64(0.73))"
H1,er11@0.31,1.53,1.91,63.5,79.3,1408,1.72,1.3,True,-4184.7,"(732, 44.26, 0.02, np.float64(0.01))","(676, 45.41, 3.55, np.float64(1.87))"
H1,er11@0.42,1.87,1.87,77.7,77.7,1167,0.18,0.13,False,-4701.2,"(614, 51.63, 0.97, np.float64(0.48))","(553, 47.38, -0.69, np.float64(-0.32))"
H1,er11@0.42,1.87,2.24,77.7,93.0,1104,0.83,0.55,True,-3346.3,"(570, 47.89, 1.39, np.float64(0.66))","(534, 43.63, 0.23, np.float64(0.11))"
H1,er11@0.42,2.23,2.68,92.6,111.3,958,0.05,0.02,False,-3940.8,"(501, 46.91, 0.25, np.float64(0.11))","(457, 43.76, -0.17, np.float64(-0.08))"
H1,er11@0.42,1.53,1.91,63.5,79.3,1224,0.84,0.6,True,-5073.2,"(645, 44.81, 0.56, np.float64(0.29))","(579, 43.01, 1.15, np.float64(0.56))"
H1,er11@0.53,1.87,1.87,77.7,77.7,892,0.46,0.28,False,-3457.7,"(468, 51.92, 1.26, np.float64(0.55))","(424, 47.64, -0.42, np.float64(-0.17))"
H1,er11@0.53,1.87,2.24,77.7,93.0,847,0.43,0.25,True,-3420.1,"(442, 47.29, 0.78, np.float64(0.33))","(405, 43.46, 0.06, np.float64(0.02))"
H1,er11@0.53,2.23,2.68,92.6,111.3,772,0.87,0.48,True,-1648.2,"(408, 46.81, 0.16, np.float64(0.06))","(364, 45.6, 1.67, np.float64(0.64))"
H1,er11@0.53,1.53,1.91,63.5,79.3,922,1.25,0.77,True,-3398.1,"(482, 45.64, 1.4, np.float64(0.62))","(440, 42.95, 1.09, np.float64(0.47))"
H1,er18@0.31,1.87,1.87,77.7,77.7,988,1.58,1.0,True,-1451.6,"(520, 51.92, 1.26, np.float64(0.58))","(468, 50.0, 1.94, np.float64(0.84))"
H1,er18@0.31,1.87,2.24,77.7,93.0,933,1.93,1.18,True,-624.2,"(486, 47.53, 1.02, np.float64(0.45))","(447, 46.31, 2.91, np.float64(1.24))"
H1,er18@0.31,2.23,2.68,92.6,111.3,829,1.09,0.63,True,-1063.9,"(432, 47.22, 0.57, np.float64(0.24))","(397, 45.59, 1.65, np.float64(0.66))"
H1,er18@0.31,1.53,1.91,63.5,79.3,1026,2.21,1.43,True,-2443.6,"(537, 46.74, 2.5, np.float64(1.16))","(489, 43.76, 1.9, np.float64(0.85))"
H1,er18@0.42,1.87,1.87,77.7,77.7,693,2.29,1.21,True,-222.3,"(386, 53.89, 3.23, np.float64(1.27))","(307, 49.19, 1.12, np.float64(0.39))"
H1,er18@0.42,1.87,2.24,77.7,93.0,658,2.17,1.11,True,-378.5,"(359, 48.47, 1.96, np.float64(0.74))","(299, 45.82, 2.42, np.float64(0.84))"
H1,er18@0.42,2.23,2.68,92.6,111.3,602,1.26,0.62,True,-611.1,"(329, 48.02, 1.37, np.float64(0.5))","(273, 45.05, 1.12, np.float64(0.37))"
H1,er18@0.42,1.53,1.91,63.5,79.3,720,3.35,1.81,True,-496.7,"(399, 48.37, 4.13, np.float64(1.66))","(321, 44.24, 2.38, np.float64(0.86))"
H1,er18@0.53,1.87,1.87,77.7,77.7,422,5.73,2.36,True,1931.9,"(231, 59.31, 8.65, np.float64(2.63))","(191, 50.26, 2.2, np.float64(0.61))"
H1,er18@0.53,1.87,2.24,77.7,93.0,408,5.41,2.2,True,1850.3,"(220, 54.09, 7.58, np.float64(2.25))","(188, 46.28, 2.88, np.float64(0.8))"
