pnl_pip,outcome,sl_pip,tp_pip,entry_bar,exit_bar,direction
28.700000000000454,win,93.71664995506428,93.71664995506428,1573,1576,long
30.200000000001364,win,86.6537695630095,86.6537695630095,1597,1600,long
22.69999999999909,win,91.40954275336811,91.40954275336811,1621,1624,long
26.200000000000454,win,84.80711509417077,84.80711509417077,1645,1648,long
94.60079997469548,win,97.90079997469448,97.90079997469448,1979,1979,long
38.70000000000046,win,167.87833878464562,167.87833878464562,2026,2029,short
-51.29999999999954,loss,167.98308455699558,167.98308455699558,2050,2053,short
182.68623193832735,win,185.9862319383267,185.9862319383267,2074,2076,short
-114.79999999999863,loss,191.59723992778382,191.59723992778382,2098,2101,short
-15.300000000000455,loss,86.73760594842034,86.73760594842034,2455,2458,long
-23.799999999999546,loss,96.34134815200548,96.34134815200548,2903,2906,short
5.200000000001364,win,108.15030798122623,108.15030798122623,2927,2930,short
108.69008388228549,win,111.99008388228435,111.99008388228435,3369,3371,long
-49.80000000000091,loss,126.53741469412725,126.53741469412725,3393,3396,long
-85.30000000000045,loss,166.30012524916327,166.30012524916327,3417,3420,long
69.2,win,198.12052004206112,198.12052004206112,3441,3444,long
20.70000000000091,win,221.05429062316182,221.05429062316182,3464,3467,long
301.0248827024081,win,304.3248827024073,304.3248827024073,3488,3489,long
168.2000000000009,win,340.35385422168423,340.35385422168423,3512,3515,long
-7.300000000000909,loss,351.00999662714463,351.00999662714463,3536,3539,long
72.6999999999991,win,328.7334591386768,328.7334591386768,3560,3563,long
38.19999999999864,win,209.8951252868559,209.8951252868559,3607,3610,long
58.70000000000046,win,166.5537362646994,166.5537362646994,3631,3634,long
43.20000000000091,win,161.02360792158257,161.02360792158257,3655,3658,long
-6.79999999999909,loss,219.1629612146659,219.1629612146659,3679,3682,long
98.20000000000091,win,253.54063757257808,253.54063757257808,3702,3705,long
73.19999999999864,win,327.2689220533732,327.2689220533732,3750,3753,short
-89.8000000000009,loss,378.7163733594348,378.7163733594348,3774,3777,short
-354.25904120529214,loss,350.959041205293,350.959041205293,3798,3800,short
15.700000000000909,win,342.10764945630933,342.10764945630933,3821,3824,short
83.19999999999864,win,196.8056956487329,196.8056956487329,3917,3920,long
59.70000000000182,win,341.68836583517407,341.68836583517407,3984,3987,short
-160.8,loss,307.9286397790359,307.9286397790359,4008,4011,short
4.700000000001819,win,329.81185958892416,329.81185958892416,4032,4035,short
-24.300000000001365,loss,334.1313804855785,334.1313804855785,4055,4058,short
-39.80000000000091,loss,269.42489378244863,269.42489378244863,4103,4106,short
-83.3,loss,259.47145149024254,259.47145149024254,4127,4130,short
17.69999999999909,win,247.45179595697658,247.45179595697658,4151,4154,short
17.199999999999545,win,246.3512582882607,246.3512582882607,4174,4177,short
66.19999999999818,win,272.9322609437019,272.9322609437019,4246,4249,short
88.70000000000046,win,345.6994478620216,345.6994478620216,4270,4273,short
-255.30000000000047,loss,489.8320767134526,489.8320767134526,4293,4296,short
9.699999999999545,win,346.8378852532459,346.8378852532459,4365,4368,short
20.70000000000091,win,275.6540797669113,275.6540797669113,4412,4415,long
-44.80000000000091,loss,186.24357540328805,186.24357540328805,4579,4582,long
-2.799999999998181,loss,159.70642439574357,159.70642439574357,4627,4630,long
60.20000000000137,win,187.50926368134765,187.50926368134765,4698,4701,short
-98.3,loss,208.6248627104185,208.6248627104185,4722,4725,short
-23.80000000000182,loss,198.5855895782003,198.5855895782003,4746,4749,short
74.2,win,192.1279082487502,192.1279082487502,4793,4796,long
-14.300000000001365,loss,199.35088579836076,199.35088579836076,4817,4820,long
16.7,win,209.07972464858096,209.07972464858096,4841,4844,long
-14.80000000000091,loss,194.24698331564116,194.24698331564116,4865,4868,long
-154.2833720036977,loss,150.9833720036979,150.9833720036979,5029,5031,long
-3.800000000001819,loss,207.686329436674,207.686329436674,5197,5200,short
-26.79999999999909,loss,201.25554154870153,201.25554154870153,5221,5224,short
-30.29999999999818,loss,213.9683039370773,213.9683039370773,5244,5247,short
-3.799999999999545,loss,173.17803755637252,173.17803755637252,5404,5407,long
77.19999999999955,win,157.12732675581765,157.12732675581765,5428,5431,long
-23.3,loss,154.4972646594973,154.4972646594973,5452,5455,long
13.200000000000909,win,159.67420992586264,159.67420992586264,5547,5550,short
-10.8,loss,171.0663560251988,171.0663560251988,5594,5597,short
218.9759989689257,win,222.27599896892474,222.27599896892474,5641,5643,short
-109.90000000000082,loss,160.54732669058808,160.54732669058808,5874,5877,short
-47.80000000000045,loss,167.35539397102087,167.35539397102087,5945,5948,long
53.60000000000055,win,167.15474574962732,167.15474574962732,5969,5972,long
-3.5000000000020917,loss,159.25716455821376,159.25716455821376,5993,5996,long
-34.29999999999909,loss,118.9243143125574,118.9243143125574,6087,6090,long
-53.20000000000009,loss,152.62300579625978,152.62300579625978,6324,6327,long
59.39999999999982,win,137.8548297113504,137.8548297113504,6348,6351,long
-60.60000000000018,loss,109.86979031332798,109.86979031332798,6794,6797,long
-24.90000000000082,loss,107.8704399651118,107.8704399651118,6818,6821,long
171.34079362666097,win,174.6407936266615,174.6407936266615,6889,6889,short
-7.400000000000818,loss,201.30181210776948,201.30181210776948,6913,6916,short
-17.199999999998727,loss,162.13890480217034,162.13890480217034,6937,6940,short
-76.19999999999963,loss,150.64064633061074,150.64064633061074,6984,6987,short
-69.40000000000127,loss,167.32332947764095,167.32332947764095,7127,7130,short
-20.99999999999982,loss,135.214957807151,135.214957807151,7477,7480,short
-31.599999999999273,loss,127.12180831136347,127.12180831136347,7501,7504,short
7.899999999998909,win,125.37890967477071,125.37890967477071,8044,8047,short
27.399999999999363,win,131.62405495460237,131.62405495460237,8162,8165,short
-151.71504784876635,loss,148.41504784876543,148.41504784876543,8281,8282,short
73.30000000000082,win,183.15484715301488,183.15484715301488,8445,8448,long
-58.69999999999963,loss,177.02686118534254,177.02686118534254,8564,8567,short
45.19999999999909,win,152.0488637339429,152.0488637339429,8778,8781,short
-62.39999999999854,loss,132.2204560857027,132.2204560857027,8802,8805,short
-53.199999999997814,loss,124.68795079959195,124.68795079959195,9035,9038,short
50.69999999999864,win,110.26174389244933,110.26174389244933,9392,9395,long
-18.49999999999982,loss,121.81877070696733,121.81877070696733,9487,9490,short
-22.199999999998727,loss,127.8014461036025,127.8014461036025,10099,10102,long
-34.09999999999927,loss,119.011797117729,119.011797117729,10218,10221,long
-50.999999999999815,loss,100.30886733883897,100.30886733883897,11025,11028,short
-18.20000000000009,loss,102.99676825398318,102.99676825398318,11070,11073,long
139.6468505619252,win,142.94685056192426,142.94685056192426,13585,13587,short
346.33929644009794,win,349.63929644009795,349.63929644009795,13608,13611,short
100.80000000000082,win,147.1186022402775,147.1186022402775,13793,13796,long
-151.87823119969227,loss,148.57823119969134,148.57823119969134,13885,13886,short
27.700000000001364,win,157.6991093514767,157.6991093514767,14115,14118,short
62.50000000000155,win,176.16584580239893,176.16584580239893,14592,14595,short
43.60000000000055,win,185.30686709385463,185.30686709385463,14684,14687,short
-76.49999999999936,loss,142.8367309027508,142.8367309027508,14796,14799,short
13.400000000000727,win,112.26140413745713,112.26140413745713,15049,15052,long
-27.50000000000073,loss,116.38775823920223,116.38775823920223,15095,15098,short
24.499999999999726,win,123.71427876647839,123.71427876647839,15351,15354,long
3.700000000000455,win,105.64074889837488,105.64074889837488,15881,15884,short
88.29999999999855,win,111.7999252716583,111.7999252716583,15928,15931,short
-54.89999999999854,loss,172.21980536166586,172.21980536166586,16044,16047,long
72.10000000000191,win,166.14581407841192,166.14581407841192,16067,16070,short
-22.50000000000073,loss,149.19881701296944,149.19881701296944,16229,16232,short
8.200000000000909,win,152.50783915090813,152.50783915090813,16252,16255,long
-15.8,loss,168.78879104358256,168.78879104358256,16507,16510,long
19.499999999999726,win,135.39833904038085,135.39833904038085,16531,16534,long
-26.600000000001547,loss,107.83304266374107,107.83304266374107,16577,16580,long
-33.3,loss,108.36254984068785,108.36254984068785,16878,16881,short
16.999999999999726,win,100.87259112545931,100.87259112545931,17089,17092,short
13.500000000000636,win,81.65211121944719,81.65211121944719,18047,18050,long
2.200000000001819,win,99.58278955088655,99.58278955088655,19378,19381,short
20.50000000000109,win,62.25001625377912,62.25001625377912,20041,20044,short
-3.399999999999909,loss,81.67955382121073,81.67955382121073,20819,20822,short
-9.699999999998727,loss,63.21396506585086,63.21396506585086,21643,21646,short
-40.70000000000009,loss,106.68293121313128,106.68293121313128,22633,22636,short
91.6000000000001,win,116.89170966428641,116.89170966428641,22747,22750,long
153.17677145605938,win,156.4767714560598,156.4767714560598,23108,23109,long
-3.899999999999454,loss,113.7895105624709,113.7895105624709,23246,23249,long
-31.99999999999891,loss,139.71888582818792,139.71888582818792,23797,23800,long
18.099999999998726,win,118.50072543753207,118.50072543753207,24023,24026,short
-37.400000000000816,loss,113.31420793033762,113.31420793033762,24161,24164,short
-27.40000000000082,loss,88.9730699574493,88.9730699574493,24318,24321,short
60.999999999998366,win,87.66285150987346,87.66285150987346,24617,24620,short
-0.4000000000003636,loss,75.55986554505313,75.55986554505313,25422,25425,long
-25.200000000000546,loss,90.99776013365218,90.99776013365218,25491,25494,short
-0.9000000000021826,loss,80.38022128777344,80.38022128777344,25698,25701,long
61.7,win,103.88021252567559,103.88021252567559,26794,26797,short
-24.49999999999891,loss,69.80820403155184,69.80820403155184,27895,27898,long
-15.8,loss,83.712797408923,83.712797408923,28033,28036,long
-10.700000000000092,loss,84.91090965769224,84.91090965769224,28148,28151,long
62.236227812640394,win,65.53622781264035,65.53622781264035,28540,28541,short
66.39088990744695,win,69.690889907447,69.690889907447,28564,28565,short
-6.299999999999545,loss,93.04818782130667,93.04818782130667,29064,29067,long
18.500000000000636,win,101.47997645538113,101.47997645538113,29270,29273,short
31.100000000000545,win,85.32572653209054,85.32572653209054,29566,29569,long
67.82752172445653,win,71.12752172445612,71.12752172445612,30001,30002,long
14.000000000000181,win,80.38564381311085,80.38564381311085,30025,30028,long
-40.50000000000027,loss,108.04347255566906,108.04347255566906,30071,30074,long
-96.50000000000163,loss,161.88519710132596,161.88519710132596,30141,30144,long
4.000000000000182,win,163.50150513659608,163.50150513659608,30165,30168,long
22.700000000001364,win,142.83932324421428,142.83932324421428,30187,30190,short
-130.7118965038474,loss,127.41189650384729,127.41189650384729,30343,30345,long
29.29999999999991,win,105.51202363591416,105.51202363591416,30804,30807,short
33.80000000000037,win,99.30168371520324,99.30168371520324,31370,31373,long
10.09999999999918,win,113.44797304751332,113.44797304751332,31393,31396,long
14.899999999999363,win,107.26569992308826,107.26569992308826,31531,31534,short
