pnl_pip,outcome,sl_pip,tp_pip,entry_bar,exit_bar,direction,t_entry,t_exit,src_card
-50.10312284651563,loss,46.80312284651544,46.80312284651544,1,40,long,1301598000000000000,1301609700000000000,M15
28.70000000000045,win,57.21249148677261,57.21249148677261,1441,1486,long,1302030000000000000,1302043500000000000,M15
30.200000000001364,win,86.6537695630095,86.6537695630095,1729,1765,long,1302116400000000000,1302127200000000000,H1
22.69999999999909,win,91.40954275336811,91.40954275336811,2017,2053,long,1302202800000000000,1302213600000000000,H1
26.20000000000045,win,84.80711509417077,84.80711509417077,2305,2341,long,1302289200000000000,1302300000000000000,H1
19.699999999999545,win,56.32168472686454,56.32168472686454,4033,4078,long,1302807600000000000,1302821100000000000,M15
45.70295851281044,win,49.00295851281118,49.00295851281118,8353,8356,long,1304103600000000000,1304104500000000000,M15
38.70000000000046,win,167.87833878464562,167.87833878464562,9505,9541,short,1304449200000000000,1304460000000000000,H1
-99.3995859218542,loss,96.09958592185464,96.09958592185464,9793,9814,short,1304535600000000000,1304541900000000000,M15
115.89509455733304,win,119.19509455733385,119.19509455733385,10081,10102,short,1304622000000000000,1304628300000000000,M15
-114.79999999999863,loss,191.59723992778385,191.59723992778385,10369,10405,short,1304708400000000000,1304719200000000000,H1
-4.800000000000909,loss,75.47954234939778,75.47954234939778,11809,11854,short,1305140400000000000,1305153900000000000,M15
-43.3,loss,92.18200360340944,92.18200360340944,12385,12430,short,1305313200000000000,1305326700000000000,M15
5.699999999998636,win,78.14999020697338,78.14999020697338,14401,14446,long,1305918000000000000,1305931500000000000,M15
-48.7346304639057,loss,45.434630463904725,45.434630463904725,16417,16441,long,1306522800000000000,1306530000000000000,M15
62.78563515955212,win,66.08563515955197,66.08563515955197,24193,24211,short,1308855600000000000,1308861000000000000,M15
5.200000000001364,win,64.3732142091923,64.3732142091923,24481,24526,short,1308942000000000000,1308955500000000000,M15
-27.800000000000452,loss,61.07529921874944,61.07529921874944,26497,26542,short,1309546800000000000,1309560300000000000,M15
-67.06211908772575,loss,63.7621190877263,63.7621190877263,35425,35428,long,1312225200000000000,1312226100000000000,M15
61.48454214455269,win,64.78454214455276,64.78454214455276,35713,35737,long,1312311600000000000,1312318800000000000,M15
-49.80000000000091,loss,126.53741469412724,126.53741469412724,36001,36037,long,1312398000000000000,1312408800000000000,H1
-85.30000000000045,loss,166.30012524916327,166.30012524916327,36289,36325,long,1312484400000000000,1312495200000000000,H1
69.2,win,198.12052004206112,198.12052004206112,36577,36613,long,1312570800000000000,1312581600000000000,H1
20.70000000000091,win,121.6428435816665,121.6428435816665,37441,37486,long,1312830000000000000,1312843500000000000,M15
192.74453592107344,win,196.0445359210734,196.0445359210734,37729,37744,long,1312916400000000000,1312920900000000000,M15
160.5607369815645,win,163.86073698156514,163.86073698156514,38017,38050,long,1313002800000000000,1313012700000000000,M15
189.0791760074937,win,192.37917600749415,192.37917600749415,38305,38311,short,1313089200000000000,1313091000000000000,M15
-79.29999999999909,loss,154.83502867208873,154.83502867208873,38593,38638,short,1313175600000000000,1313189100000000000,M15
38.19999999999864,win,105.53964203368008,105.53964203368008,39745,39790,long,1313521200000000000,1313534700000000000,M15
58.70000000000046,win,166.5537362646994,166.5537362646994,40033,40069,long,1313607600000000000,1313618400000000000,H1
81.59528089405212,win,84.89528089405128,84.89528089405128,40321,40351,long,1313694000000000000,1313703000000000000,M15
-6.79999999999909,loss,169.45558899599436,169.45558899599436,40609,40654,long,1313780400000000000,1313793900000000000,M15
98.20000000000093,win,144.98118149413725,144.98118149413725,41473,41518,long,1314039600000000000,1314053100000000000,M15
166.34531179508866,win,169.64531179508782,169.64531179508782,41761,41779,short,1314126000000000000,1314131400000000000,M15
73.19999999999864,win,181.2449131653828,181.2449131653828,42049,42094,short,1314212400000000000,1314225900000000000,M15
83.20000000000091,win,227.80007634317187,227.80007634317187,42337,42382,long,1314298800000000000,1314312300000000000,M15
-354.25904120529214,loss,350.959041205293,350.959041205293,42625,42649,short,1314385200000000000,1314392400000000000,H1
