entry_bar,exit_bar,outcome,pnl_pip,sl_pip,tp_pip,direction
598,619,win,62.042707688638764,41.361805125759176,62.042707688638764,short
629,631,win,62.042707688638764,41.361805125759176,62.042707688638764,short
635,637,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
695,697,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
715,726,win,62.042707688638764,41.361805125759176,62.042707688638764,short
758,799,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
811,834,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
837,839,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
841,849,win,62.042707688638764,41.361805125759176,62.042707688638764,short
850,852,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
853,855,win,62.042707688638764,41.361805125759176,62.042707688638764,short
857,882,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
897,898,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
900,901,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
922,931,win,62.042707688638764,41.361805125759176,62.042707688638764,short
988,989,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
1002,1017,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
1059,1066,win,62.042707688638764,41.361805125759176,62.042707688638764,short
1067,1073,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
1078,1079,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
1084,1085,win,62.042707688638764,41.361805125759176,62.042707688638764,long
1086,1089,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
1090,1115,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
1140,1171,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
1188,1218,win,62.042707688638764,41.361805125759176,62.042707688638764,long
1219,1271,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
1298,1312,win,62.042707688638764,41.361805125759176,62.042707688638764,short
1313,1316,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
1317,1325,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
1328,1352,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
1373,1393,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
1413,1416,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
1444,1506,win,62.042707688638764,41.361805125759176,62.042707688638764,long
1520,1533,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
1551,1599,win,62.042707688638764,41.361805125759176,62.042707688638764,long
1610,1625,win,62.042707688638764,41.361805125759176,62.042707688638764,long
1655,1662,win,62.042707688638764,41.361805125759176,62.042707688638764,short
1663,1669,win,62.042707688638764,41.361805125759176,62.042707688638764,short
1682,1683,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
1713,1727,win,62.042707688638764,41.361805125759176,62.042707688638764,long
1730,1735,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
1755,1760,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
1782,1784,win,62.042707688638764,41.361805125759176,62.042707688638764,short
1785,1786,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
1798,1809,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
1853,1861,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
1876,1878,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
1887,1905,win,62.042707688638764,41.361805125759176,62.042707688638764,long
1933,1957,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
1990,1995,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
2000,2003,win,62.042707688638764,41.361805125759176,62.042707688638764,short
2012,2033,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
2054,2059,win,62.042707688638764,41.361805125759176,62.042707688638764,long
2077,2096,win,62.042707688638764,41.361805125759176,62.042707688638764,long
2104,2106,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
2107,2130,win,62.042707688638764,41.361805125759176,62.042707688638764,short
2153,2188,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
2189,2194,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
2232,2236,win,62.042707688638764,41.361805125759176,62.042707688638764,short
2238,2241,win,62.042707688638764,41.361805125759176,62.042707688638764,short
2243,2248,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
2258,2276,win,62.042707688638764,41.361805125759176,62.042707688638764,long
2293,2303,win,62.042707688638764,41.361805125759176,62.042707688638764,long
2345,2347,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
2356,2358,win,62.042707688638764,41.361805125759176,62.042707688638764,short
2359,2363,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
2375,2376,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
2389,2394,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
2421,2423,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
2441,2443,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
2460,2473,win,62.042707688638764,41.361805125759176,62.042707688638764,long
2527,2532,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
2537,2558,win,62.042707688638764,41.361805125759176,62.042707688638764,long
2571,2586,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
2622,2654,win,62.042707688638764,41.361805125759176,62.042707688638764,long
2655,2669,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
2706,2710,win,62.042707688638764,41.361805125759176,62.042707688638764,short
2711,2715,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
2716,2740,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
2787,2791,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
2802,2829,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
2876,2882,win,62.042707688638764,41.361805125759176,62.042707688638764,long
2883,2886,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
2897,2911,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
2931,2946,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
2947,2966,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
2978,2979,win,62.042707688638764,41.361805125759176,62.042707688638764,short
2980,2982,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
3016,3074,win,62.042707688638764,41.361805125759176,62.042707688638764,long
3078,3107,win,62.042707688638764,41.361805125759176,62.042707688638764,long
3140,3155,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
3166,3168,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
3198,3207,win,62.042707688638764,41.361805125759176,62.042707688638764,long
3244,3252,win,62.042707688638764,41.361805125759176,62.042707688638764,short
3255,3269,win,62.042707688638764,41.361805125759176,62.042707688638764,short
3279,3296,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
3297,3305,win,62.042707688638764,41.361805125759176,62.042707688638764,long
3385,3391,loss,-41.361805125759176,41.361805125759176,62.042707688638764,long
3393,3399,loss,-41.361805125759176,41.361805125759176,62.042707688638764,short
3406,3418,win,62.042707688638764,41.361805125759176,62.042707688638764,long
