entry_bar,exit_bar,outcome,pnl_pip,sl_pip,tp_pip,direction
583,584,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
585,590,win,342.3392679394587,228.2261786263058,342.3392679394587,short
591,594,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
680,689,win,342.3392679394587,228.2261786263058,342.3392679394587,short
690,693,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
704,711,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
715,723,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
753,755,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
832,849,win,342.3392679394587,228.2261786263058,342.3392679394587,long
855,863,win,342.3392679394587,228.2261786263058,342.3392679394587,long
881,883,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
905,915,win,342.3392679394587,228.2261786263058,342.3392679394587,short
916,935,win,342.3392679394587,228.2261786263058,342.3392679394587,short
949,978,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
979,991,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
1003,1015,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
1017,1019,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
1075,1081,win,342.3392679394587,228.2261786263058,342.3392679394587,short
1082,1087,win,342.3392679394587,228.2261786263058,342.3392679394587,short
1125,1133,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
1159,1160,win,342.3392679394587,228.2261786263058,342.3392679394587,short
1161,1162,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
1164,1166,win,342.3392679394587,228.2261786263058,342.3392679394587,short
1176,1178,win,342.3392679394587,228.2261786263058,342.3392679394587,long
1180,1185,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
1250,1258,win,342.3392679394587,228.2261786263058,342.3392679394587,short
1259,1261,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
1280,1290,win,342.3392679394587,228.2261786263058,342.3392679394587,long
1293,1295,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
1328,1339,win,342.3392679394587,228.2261786263058,342.3392679394587,long
1367,1375,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
1386,1393,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
1424,1439,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
1450,1465,win,342.3392679394587,228.2261786263058,342.3392679394587,short
1492,1498,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
1507,1515,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
1522,1546,win,342.3392679394587,228.2261786263058,342.3392679394587,long
1631,1642,win,342.3392679394587,228.2261786263058,342.3392679394587,short
1752,1761,win,342.3392679394587,228.2261786263058,342.3392679394587,long
1762,1791,win,342.3392679394587,228.2261786263058,342.3392679394587,long
1796,1850,win,342.3392679394587,228.2261786263058,342.3392679394587,short
1851,1881,win,342.3392679394587,228.2261786263058,342.3392679394587,short
1921,1951,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
1952,1959,win,342.3392679394587,228.2261786263058,342.3392679394587,short
1960,1963,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
1974,1994,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
2008,2015,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
2026,2035,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
2089,2105,win,342.3392679394587,228.2261786263058,342.3392679394587,short
2146,2156,win,342.3392679394587,228.2261786263058,342.3392679394587,long
2157,2162,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
2214,2223,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
2228,2231,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
2302,2318,win,342.3392679394587,228.2261786263058,342.3392679394587,short
2319,2350,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
2353,2366,win,342.3392679394587,228.2261786263058,342.3392679394587,long
2393,2405,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
2438,2467,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
2468,2475,win,342.3392679394587,228.2261786263058,342.3392679394587,short
2476,2491,win,342.3392679394587,228.2261786263058,342.3392679394587,short
2517,2527,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
2549,2561,win,342.3392679394587,228.2261786263058,342.3392679394587,long
2562,2571,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
2604,2610,win,342.3392679394587,228.2261786263058,342.3392679394587,long
2611,2614,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
2624,2628,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
2672,2676,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
2722,2730,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
2756,2777,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
2778,2788,win,342.3392679394587,228.2261786263058,342.3392679394587,long
2801,2813,win,342.3392679394587,228.2261786263058,342.3392679394587,long
2814,2827,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
2831,2855,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
2921,2930,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
2946,2986,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
2988,2996,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
2997,2998,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
3011,3021,win,342.3392679394587,228.2261786263058,342.3392679394587,short
3063,3075,win,342.3392679394587,228.2261786263058,342.3392679394587,long
3076,3091,win,342.3392679394587,228.2261786263058,342.3392679394587,long
3161,3182,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
3185,3214,win,342.3392679394587,228.2261786263058,342.3392679394587,long
3229,3243,win,342.3392679394587,228.2261786263058,342.3392679394587,short
3247,3262,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
3290,3296,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
3307,3332,win,342.3392679394587,228.2261786263058,342.3392679394587,short
3345,3372,win,342.3392679394587,228.2261786263058,342.3392679394587,long
3404,3420,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
3421,3430,win,342.3392679394587,228.2261786263058,342.3392679394587,short
3431,3443,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
3511,3517,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
3521,3531,win,342.3392679394587,228.2261786263058,342.3392679394587,short
3542,3557,win,342.3392679394587,228.2261786263058,342.3392679394587,long
3558,3590,win,342.3392679394587,228.2261786263058,342.3392679394587,long
3605,3621,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
3678,3681,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
3691,3699,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
3724,3754,win,342.3392679394587,228.2261786263058,342.3392679394587,short
3755,3806,win,342.3392679394587,228.2261786263058,342.3392679394587,short
3824,3833,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
3880,3893,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
3894,3942,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
3962,4059,win,342.3392679394587,228.2261786263058,342.3392679394587,long
4066,4112,win,342.3392679394587,228.2261786263058,342.3392679394587,long
4114,4159,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
4160,4175,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
4260,4268,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
4288,4306,win,342.3392679394587,228.2261786263058,342.3392679394587,long
4314,4319,win,342.3392679394587,228.2261786263058,342.3392679394587,long
4340,4343,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
4346,4355,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
4383,4408,win,342.3392679394587,228.2261786263058,342.3392679394587,long
4426,4451,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
4518,4531,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
4580,4591,win,342.3392679394587,228.2261786263058,342.3392679394587,long
4592,4597,win,342.3392679394587,228.2261786263058,342.3392679394587,long
4605,4615,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
4657,4662,win,342.3392679394587,228.2261786263058,342.3392679394587,long
4663,4664,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
4673,4676,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
4690,4692,win,342.3392679394587,228.2261786263058,342.3392679394587,short
4693,4694,win,342.3392679394587,228.2261786263058,342.3392679394587,short
4695,4696,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
4705,4706,win,342.3392679394587,228.2261786263058,342.3392679394587,long
4707,4708,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
4713,4716,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
4794,4800,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
4811,4814,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
4815,4818,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
4877,4881,win,342.3392679394587,228.2261786263058,342.3392679394587,long
4882,4883,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
4885,4894,win,342.3392679394587,228.2261786263058,342.3392679394587,long
4904,4905,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
4909,4912,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
5028,5032,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
5033,5052,win,342.3392679394587,228.2261786263058,342.3392679394587,short
5074,5076,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
5118,5127,win,342.3392679394587,228.2261786263058,342.3392679394587,short
5193,5198,win,342.3392679394587,228.2261786263058,342.3392679394587,short
5203,5205,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
5209,5228,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
5242,5244,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
5245,5254,win,342.3392679394587,228.2261786263058,342.3392679394587,long
5283,5295,win,342.3392679394587,228.2261786263058,342.3392679394587,long
5322,5324,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
5335,5340,win,342.3392679394587,228.2261786263058,342.3392679394587,short
5341,5342,win,342.3392679394587,228.2261786263058,342.3392679394587,short
5343,5358,win,342.3392679394587,228.2261786263058,342.3392679394587,short
5371,5394,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
5414,5415,win,342.3392679394587,228.2261786263058,342.3392679394587,short
5417,5420,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
5429,5445,win,342.3392679394587,228.2261786263058,342.3392679394587,long
5512,5514,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
5550,5566,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
5567,5582,win,342.3392679394587,228.2261786263058,342.3392679394587,short
5614,5630,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
5661,5672,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
5682,5690,win,342.3392679394587,228.2261786263058,342.3392679394587,long
5691,5699,win,342.3392679394587,228.2261786263058,342.3392679394587,long
5715,5716,win,342.3392679394587,228.2261786263058,342.3392679394587,long
5726,5729,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
5730,5740,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
5787,5789,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
5793,5794,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
5811,5812,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
5825,5835,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
5884,5893,win,342.3392679394587,228.2261786263058,342.3392679394587,short
5917,5923,win,342.3392679394587,228.2261786263058,342.3392679394587,long
5971,5982,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
5989,5996,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
6013,6021,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
6030,6032,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
6068,6082,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
6129,6132,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
6142,6145,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
6148,6156,win,342.3392679394587,228.2261786263058,342.3392679394587,long
6159,6183,win,342.3392679394587,228.2261786263058,342.3392679394587,long
6186,6187,win,342.3392679394587,228.2261786263058,342.3392679394587,short
6188,6202,win,342.3392679394587,228.2261786263058,342.3392679394587,short
6238,6243,win,342.3392679394587,228.2261786263058,342.3392679394587,long
6244,6247,win,342.3392679394587,228.2261786263058,342.3392679394587,long
6248,6251,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
6286,6291,win,342.3392679394587,228.2261786263058,342.3392679394587,short
6294,6309,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
6398,6403,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
6405,6411,win,342.3392679394587,228.2261786263058,342.3392679394587,long
6412,6441,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
6444,6459,win,342.3392679394587,228.2261786263058,342.3392679394587,short
6479,6499,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
6520,6523,win,342.3392679394587,228.2261786263058,342.3392679394587,short
6525,6533,win,342.3392679394587,228.2261786263058,342.3392679394587,short
6541,6545,win,342.3392679394587,228.2261786263058,342.3392679394587,long
6546,6551,win,342.3392679394587,228.2261786263058,342.3392679394587,long
6553,6565,win,342.3392679394587,228.2261786263058,342.3392679394587,long
6616,6617,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
6630,6631,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
6715,6722,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
6731,6741,win,342.3392679394587,228.2261786263058,342.3392679394587,long
6742,6743,win,342.3392679394587,228.2261786263058,342.3392679394587,long
6744,6748,win,342.3392679394587,228.2261786263058,342.3392679394587,long
6749,6751,win,342.3392679394587,228.2261786263058,342.3392679394587,long
6752,6755,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
6790,6797,win,342.3392679394587,228.2261786263058,342.3392679394587,long
6811,6813,win,342.3392679394587,228.2261786263058,342.3392679394587,short
6822,6829,win,342.3392679394587,228.2261786263058,342.3392679394587,short
6919,6921,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
6927,6929,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
6933,6937,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
6947,6949,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
6979,6987,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
7052,7059,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
7095,7097,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
7101,7105,win,342.3392679394587,228.2261786263058,342.3392679394587,short
7106,7107,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
7120,7121,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
7201,7207,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
7220,7223,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
7228,7231,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
7246,7249,win,342.3392679394587,228.2261786263058,342.3392679394587,short
7252,7254,win,342.3392679394587,228.2261786263058,342.3392679394587,short
7255,7257,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
7281,7284,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
7302,7303,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
7306,7307,win,342.3392679394587,228.2261786263058,342.3392679394587,short
7308,7310,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
7317,7320,win,342.3392679394587,228.2261786263058,342.3392679394587,long
7321,7322,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
7324,7325,win,342.3392679394587,228.2261786263058,342.3392679394587,long
7326,7327,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
7339,7340,win,342.3392679394587,228.2261786263058,342.3392679394587,short
7360,7361,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
7423,7425,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
7471,7473,loss,-228.2261786263058,228.2261786263058,342.3392679394587,short
7480,7485,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
7514,7517,win,342.3392679394587,228.2261786263058,342.3392679394587,long
7519,7520,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
7524,7525,win,342.3392679394587,228.2261786263058,342.3392679394587,long
7526,7528,loss,-228.2261786263058,228.2261786263058,342.3392679394587,long
