time,open,high,low,close,volume
1575763200,96.729,96.784,96.727,96.757,87.0
1576368000,96.692,97.337,96.482,97.259,10014.0
1576972800,97.269,97.397,96.524,96.624,6039.0
1577577600,96.572,96.787,96.007,96.554,9086.0
1578182400,96.529,97.292,96.217,97.069,11270.0
1578787200,97.119,97.402,96.812,97.359,9089.0
1579392000,97.377,97.729,97.137,97.662,8523.0
1579996800,97.617,97.996,97.187,97.192,8996.0
1580601600,97.302,98.582,97.262,98.564,9506.0
1581206400,98.517,99.037,98.477,98.992,9223.0
1581811200,99.009,99.807,98.922,99.234,10520.0
1582416000,99.392,99.562,97.904,98.014,18021.0
1583020800,97.829,97.987,95.672,95.996,23800.0
1583625600,95.462,98.822,94.602,98.384,42063.0
1584230400,98.022,103.812,97.567,103.517,51973.0
1584835200,103.404,103.724,98.422,98.522,46613.0
1585440000,98.424,100.964,98.392,100.704,33035.0
1586044800,100.864,101.017,99.307,99.504,21400.0
1586649600,99.482,100.377,98.802,99.814,23255.0
1587254400,99.924,100.967,99.737,100.319,91822.0
1587859200,100.292,100.362,98.767,99.044,140831.0
1588464000,99.264,100.449,99.264,99.787,115541.0
1589068800,99.804,100.592,99.577,100.402,121753.0
1589673600,100.412,100.502,98.994,99.759,110444.0
1590278400,99.734,99.987,97.929,98.317,115848.0
1590883200,98.212,98.227,96.429,96.942,138468.0
1591488000,96.729,97.452,95.694,97.127,150150.0
1592092800,97.172,97.692,96.371,97.557,139854.0
1592697600,97.634,97.669,96.312,97.394,115853.0
1593302400,97.439,97.787,96.777,97.159,99091.0
1593907200,97.142,97.142,96.167,96.602,121879.0
1594512000,96.564,96.662,95.709,95.859,105689.0
1595116800,95.869,96.137,94.292,94.352,123700.0
1595721600,94.302,94.304,92.502,93.397,140144.0
1596326400,93.377,93.972,92.472,93.367,138233.0
1596931200,93.402,93.879,92.894,93.104,121672.0
1597536000,92.989,93.467,92.099,93.199,120949.0
1598140800,93.189,93.357,92.174,92.322,124589.0
1598745600,92.222,93.232,91.727,92.762,130583.0
1599350400,92.862,93.657,92.689,93.249,108961.0
1599955200,93.252,93.617,92.762,92.959,113444.0
1600560000,92.969,94.787,92.744,94.632,126048.0
1601164800,94.574,94.662,93.557,93.917,120510.0
1601769600,93.859,93.962,93.032,93.037,91973.0
1602374400,93.114,93.912,93.017,93.677,86223.0
1602979200,93.689,93.762,92.447,92.712,88018.0
1603584000,92.794,94.127,92.767,94.037,94602.0
1604188800,94.132,94.312,92.159,92.252,140864.0
1604793600,92.192,93.182,92.109,92.732,119534.0
1605398400,92.649,92.837,92.179,92.362,87299.0
1606003200,92.252,92.784,91.732,91.814,84889.0
1606608000,91.682,92.027,90.457,90.757,102991.0
1607212800,90.757,91.227,90.602,90.942,101370.0
1607817600,90.807,90.827,89.628,89.921,94162.0
1608422400,90.136,90.938,89.911,90.228,83906.0
1609027200,90.216,90.306,89.466,89.916,72819.0
1609632000,89.756,90.216,89.156,89.995,123458.0
1610236800,90.253,90.808,89.881,90.803,112406.0
1610841600,90.823,90.978,90.068,90.253,90640.0
1611446400,90.233,90.913,90.108,90.578,109718.0
1612051200,90.583,91.628,90.513,91.008,97718.0
1612656000,91.133,91.253,90.263,90.468,80879.0
1613260800,90.438,91.068,90.118,90.368,78077.0
1613865600,90.295,90.978,89.683,90.968,119026.0
1614470400,90.763,92.23,90.643,91.978,122222.0
1615075200,91.903,92.523,91.348,91.618,112032.0
1615680000,91.678,92.178,91.288,91.953,101909.0
1616284800,92.093,92.938,91.698,92.703,95201.0
1616889600,92.788,93.468,92.718,93.028,84098.0
1617494400,92.97,93.128,92.003,92.158,84199.0
1618099200,92.208,92.353,91.473,91.528,85335.0
1618704000,91.613,91.738,90.771,90.781,87012.0
1619308800,90.858,91.306,90.386,91.266,85774.0
1619913600,91.223,91.421,90.161,90.183,83471.0
1620518400,90.116,90.893,89.941,90.306,96699.0
1621123200,90.281,90.406,89.62,89.976,86731.0
1621728000,90.013,90.421,89.511,90.036,84325.0
1622332800,90.061,90.611,89.636,90.096,72313.0
1622937600,90.128,90.566,89.818,90.461,69627.0
1623542400,90.466,92.386,90.301,92.245,88836.0
1624147200,92.238,92.351,91.495,91.751,86786.0
1624752000,91.743,92.753,91.676,92.231,81954.0
1625356800,92.296,92.831,91.981,92.086,86445.0
1625961600,92.131,92.821,92.063,92.711,81694.0
1626566400,92.656,93.186,92.495,92.901,85111.0
1627171200,92.886,92.961,91.768,92.131,77364.0
1627776000,92.111,92.836,91.806,92.783,70036.0
1628380800,92.866,93.191,92.456,92.483,62518.0
1628985600,92.521,93.736,92.466,93.451,73899.0
1629590400,93.486,93.488,92.62,92.671,71894.0
