entry_bar,exit_bar,pnl_pip,outcome,sl_pip,tp_pip,exit_kind,direction,t_entry,t_exit,src_card
1,5,21.7,win,161.76600000000067,161.76600000000067,0,long,1294425600000000000,1294428000000000000,XAUUSD-M10
3020,3024,-50.8,loss,161.76600000000067,161.76600000000067,0,long,1296237000000000000,1296239400000000000,XAUUSD-M10
3345,3349,-0.30000000000045457,loss,161.76600000000067,161.76600000000067,0,long,1296432000000000000,1296434400000000000,XAUUSD-M10
3353,3357,-28.3,loss,161.76600000000067,161.76600000000067,0,long,1296436800000000000,1296439200000000000,XAUUSD-M10
3602,3606,-34.29999999999909,loss,161.76600000000067,161.76600000000067,0,long,1296586200000000000,1296588600000000000,XAUUSD-M10
9621,9625,44.2,win,161.76600000000067,161.76600000000067,0,long,1300197600000000000,1300200000000000000,XAUUSD-M10
13672,13676,16.200000000000454,win,161.76600000000067,161.76600000000067,0,long,1302628200000000000,1302630600000000000,XAUUSD-M10
14543,14547,-24.80000000000091,loss,161.76600000000067,161.76600000000067,0,long,1303150800000000000,1303153200000000000,XAUUSD-M10
14549,14553,44.2,win,161.76600000000067,161.76600000000067,0,long,1303154400000000000,1303156800000000000,XAUUSD-M10
16450,16452,-165.06600000000068,loss,161.76600000000067,161.76600000000067,2,long,1304295000000000000,1304296200000000000,XAUUSD-M10
16680,16684,-34.80000000000091,loss,161.76600000000067,161.76600000000067,0,long,1304433000000000000,1304435400000000000,XAUUSD-M10
16831,16835,-74.79999999999863,loss,161.76600000000067,161.76600000000067,0,long,1304523600000000000,1304526000000000000,XAUUSD-M10
16960,16964,25.19999999999909,win,161.76600000000067,161.76600000000067,0,long,1304601000000000000,1304603400000000000,XAUUSD-M10
17552,17556,13.700000000000454,win,161.76600000000067,161.76600000000067,0,long,1304956200000000000,1304958600000000000,XAUUSD-M10
17857,17861,39.2,win,161.76600000000067,161.76600000000067,0,long,1305139200000000000,1305141600000000000,XAUUSD-M10
17966,17970,17.69999999999909,win,161.76600000000067,161.76600000000067,0,long,1305204600000000000,1305207000000000000,XAUUSD-M10
18129,18133,37.69999999999909,win,161.76600000000067,161.76600000000067,0,long,1305302400000000000,1305304800000000000,XAUUSD-M10
18727,18731,-19.80000000000091,loss,161.76600000000067,161.76600000000067,0,long,1305661200000000000,1305663600000000000,XAUUSD-M10
19157,19161,42.69999999999909,win,161.76600000000067,161.76600000000067,0,long,1305919200000000000,1305921600000000000,XAUUSD-M10
21161,21165,42.19999999999955,win,161.76600000000067,161.76600000000067,0,long,1307121600000000000,1307124000000000000,XAUUSD-M10
27019,27023,9.699999999999545,win,161.76600000000067,161.76600000000067,0,long,1310636400000000000,1310638800000000000,XAUUSD-M10
28083,28087,8.700000000000454,win,161.76600000000067,161.76600000000067,0,long,1311274800000000000,1311277200000000000,XAUUSD-M10
28095,28099,27.69999999999909,win,161.76600000000067,161.76600000000067,0,long,1311282000000000000,1311284400000000000,XAUUSD-M10
29958,29962,13.199999999998635,win,161.76600000000067,161.76600000000067,0,long,1312399800000000000,1312402200000000000,XAUUSD-M10
29967,29971,-42.80000000000045,loss,161.76600000000067,161.76600000000067,0,long,1312405200000000000,1312407600000000000,XAUUSD-M10
30077,30081,16.200000000000454,win,161.76600000000067,161.76600000000067,0,long,1312471200000000000,1312473600000000000,XAUUSD-M10
31789,31793,-30.300000000000455,loss,161.76600000000067,161.76600000000067,0,long,1313498400000000000,1313500800000000000,XAUUSD-M10
31960,31964,-0.30000000000045457,loss,161.76600000000067,161.76600000000067,0,long,1313601000000000000,1313603400000000000,XAUUSD-M10
32097,32101,-25.8,loss,161.76600000000067,161.76600000000067,0,long,1313683200000000000,1313685600000000000,XAUUSD-M10
32157,32161,30.200000000001364,win,161.76600000000067,161.76600000000067,0,long,1313719200000000000,1313721600000000000,XAUUSD-M10
