tf,q,D,k_sl,rr,sl,tp,n,alpha,z,net,detail
H3,0.943,55,2.058,1.0,112.4,112.4,506,1.27,0.57,-1240,"{'long': (274, 48.9, 49.6, -0.7), 'short': (232, 53.0, 49.5, 3.6)}"
H2,0.977,89,2.058,1.0,90.2,90.2,413,1.39,0.57,-658,"{'long': (240, 48.3, 49.2, -0.9), 'short': (173, 54.3, 49.8, 4.5)}"
H2,0.943,89,2.058,1.0,90.2,90.2,785,0.97,0.55,-1729,"{'long': (438, 47.9, 49.2, -1.2), 'short': (347, 53.6, 49.8, 3.8)}"
H8,0.977,55,1.618,1.272,157.6,200.5,132,2.34,0.54,579,"{'long': (81, 49.4, 44.0, 5.4), 'short': (51, 41.2, 43.6, -2.4)}"
H8,0.943,89,2.058,1.272,200.4,254.9,190,1.96,0.54,2004,"{'long': (103, 47.6, 44.2, 3.4), 'short': (87, 46.0, 45.7, 0.3)}"
H8,0.977,55,2.058,1.272,200.4,254.9,123,2.36,0.53,1011,"{'long': (74, 48.6, 44.2, 4.5), 'short': (49, 44.9, 45.7, -0.8)}"
H8,0.943,55,1.618,1.0,157.6,157.6,233,1.71,0.52,124,"{'long': (141, 52.5, 49.6, 2.9), 'short': (92, 48.9, 49.0, -0.1)}"
H8,0.977,89,1.618,1.0,157.6,157.6,136,2.13,0.5,431,"{'long': (76, 55.3, 49.6, 5.7), 'short': (60, 46.7, 49.0, -2.4)}"
H8,0.943,55,2.058,1.272,200.4,254.9,189,1.74,0.48,1207,"{'long': (110, 47.3, 44.2, 3.1), 'short': (79, 45.6, 45.7, -0.1)}"
H8,0.977,89,2.058,1.272,200.4,254.9,124,1.92,0.43,839,"{'long': (70, 50.0, 44.2, 5.8), 'short': (54, 42.6, 45.7, -3.1)}"
H4,0.943,89,2.058,1.272,131.9,167.8,375,1.09,0.43,65,"{'long': (221, 46.6, 44.8, 1.8), 'short': (154, 43.5, 43.5, 0.0)}"
H2,0.943,55,2.058,1.0,90.2,90.2,800,0.77,0.43,-2189,"{'long': (431, 48.3, 49.2, -0.9), 'short': (369, 52.6, 49.8, 2.7)}"
H2,0.943,55,1.618,1.272,70.9,90.2,826,0.65,0.38,-2387,"{'long': (446, 42.6, 43.5, -0.9), 'short': (380, 46.6, 44.1, 2.5)}"
H8,0.977,89,2.058,1.0,200.4,200.4,129,1.54,0.35,235,"{'long': (73, 54.8, 49.0, 5.8), 'short': (56, 46.4, 50.4, -4.0)}"
H4,0.943,55,2.058,1.272,131.9,167.8,370,0.89,0.34,-1052,"{'long': (220, 46.4, 44.8, 1.6), 'short': (150, 43.3, 43.5, -0.1)}"
H3,0.977,89,2.058,1.0,112.4,112.4,265,1.04,0.34,-865,"{'long': (152, 50.0, 49.6, 0.4), 'short': (113, 51.3, 49.5, 1.9)}"
H3,0.977,89,1.618,1.0,88.3,88.3,274,1.0,0.33,-1031,"{'long': (157, 46.5, 49.1, -2.6), 'short': (117, 54.7, 48.9, 5.8)}"
H3,0.943,55,2.058,1.272,112.4,143.0,479,0.69,0.3,-1412,"{'long': (262, 42.7, 43.8, -1.1), 'short': (217, 47.5, 44.6, 2.8)}"
H4,0.943,55,1.618,1.272,103.7,131.9,408,0.66,0.27,-1586,"{'long': (244, 44.7, 44.1, 0.6), 'short': (164, 43.9, 43.1, 0.8)}"
H2,0.977,89,1.618,1.0,70.9,70.9,437,0.5,0.21,-1625,"{'long': (255, 46.3, 48.8, -2.5), 'short': (182, 54.4, 49.6, 4.7)}"
H2,0.977,55,1.618,1.0,70.9,70.9,425,0.46,0.19,-1588,"{'long': (231, 45.5, 48.8, -3.4), 'short': (194, 54.6, 49.6, 5.0)}"
H3,0.977,89,1.618,1.272,88.3,112.3,268,0.58,0.19,-1044,"{'long': (154, 42.9, 44.1, -1.2), 'short': (114, 46.5, 43.5, 3.0)}"
H8,0.943,55,2.058,1.0,200.4,200.4,209,0.67,0.19,-99,"{'long': (126, 52.4, 49.0, 3.4), 'short': (83, 47.0, 50.4, -3.4)}"
H4,0.943,89,1.618,1.0,103.7,103.7,442,0.43,0.18,-1727,"{'long': (257, 49.4, 49.7, -0.2), 'short': (185, 50.3, 48.9, 1.4)}"
H8,0.943,89,1.618,1.272,157.6,200.5,219,0.44,0.13,-658,"{'long': (123, 45.5, 44.0, 1.5), 'short': (96, 42.7, 43.6, -0.9)}"
H8,0.943,89,2.058,1.0,200.4,200.4,208,0.37,0.11,-227,"{'long': (116, 51.7, 49.0, 2.7), 'short': (92, 47.8, 50.4, -2.6)}"
H2,0.977,55,2.058,1.272,90.2,114.7,380,0.28,0.11,-1225,"{'long': (208, 40.9, 43.7, -2.9), 'short': (172, 48.8, 44.8, 4.1)}"
H3,0.977,55,2.058,1.272,112.4,143.0,254,0.31,0.1,-1132,"{'long': (145, 42.8, 43.8, -1.1), 'short': (109, 46.8, 44.6, 2.1)}"
H8,0.977,55,2.058,1.0,200.4,200.4,128,0.44,0.1,-363,"{'long': (78, 53.8, 49.0, 4.8), 'short': (50, 44.0, 50.4, -6.4)}"
H8,0.943,55,1.618,1.272,157.6,200.5,220,0.22,0.07,-525,"{'long': (134, 46.3, 44.0, 2.2), 'short': (86, 40.7, 43.6, -2.9)}"
H4,0.977,89,2.058,1.272,131.9,167.8,212,0.04,0.01,-1086,"{'long': (134, 42.5, 44.8, -2.2), 'short': (78, 47.4, 43.5, 4.0)}"
H2,0.977,55,2.058,1.0,90.2,90.2,402,-0.23,-0.09,-1923,"{'long': (218, 46.3, 49.2, -2.9), 'short': (184, 52.7, 49.8, 2.9)}"
H6,0.977,89,1.618,1.0,129.9,129.9,162,-0.34,-0.09,-1054,"{'long': (85, 56.5, 49.2, 7.3), 'short': (77, 40.3, 49.0, -8.8)}"
H4,0.977,55,2.058,1.272,131.9,167.8,213,-0.64,-0.19,-1835,"{'long': (136, 41.9, 44.8, -2.9), 'short': (77, 46.8, 43.5, 3.3)}"
H3,0.977,55,1.618,1.272,88.3,112.3,264,-0.64,-0.21,-1587,"{'long': (150, 41.3, 44.1, -2.7), 'short': (114, 45.6, 43.5, 2.1)}"
H2,0.943,89,1.618,1.0,70.9,70.9,848,-0.47,-0.28,-4306,"{'long': (475, 48.2, 48.8, -0.6), 'short': (373, 49.3, 49.6, -0.3)}"
H2,0.943,55,1.618,1.0,70.9,70.9,862,-0.47,-0.28,-4340,"{'long': (466, 46.8, 48.8, -2.0), 'short': (396, 51.0, 49.6, 1.4)}"
H3,0.977,55,1.618,1.0,88.3,88.3,268,-0.86,-0.28,-1826,"{'long': (153, 44.4, 49.1, -4.6), 'short': (115, 53.0, 48.9, 4.2)}"
H4,0.977,89,1.618,1.272,103.7,131.9,218,-1.08,-0.32,-1410,"{'long': (139, 39.6, 44.1, -4.5), 'short': (79, 48.1, 43.1, 5.0)}"
H4,0.943,55,1.618,1.0,103.7,103.7,427,-0.88,-0.36,-3011,"{'long': (254, 48.0, 49.7, -1.6), 'short': (173, 49.1, 48.9, 0.2)}"
H4,0.943,55,2.058,1.0,131.9,131.9,395,-0.99,-0.39,-2885,"{'long': (235, 48.9, 49.8, -0.8), 'short': (160, 48.1, 49.4, -1.2)}"
H4,0.943,89,2.058,1.0,131.9,131.9,403,-0.96,-0.39,-2397,"{'long': (237, 48.5, 49.8, -1.2), 'short': (166, 48.8, 49.4, -0.6)}"
H3,0.977,55,2.058,1.0,112.4,112.4,261,-1.25,-0.4,-2153,"{'long': (149, 47.0, 49.6, -2.6), 'short': (112, 50.0, 49.5, 0.5)}"
H4,0.977,89,1.618,1.0,103.7,103.7,227,-1.79,-0.54,-1866,"{'long': (140, 42.9, 49.7, -6.8), 'short': (87, 55.2, 48.9, 6.3)}"
H4,0.977,55,1.618,1.272,103.7,131.9,220,-1.93,-0.58,-2044,"{'long': (142, 39.4, 44.1, -4.7), 'short': (78, 46.2, 43.1, 3.0)}"
H4,0.977,89,2.058,1.0,131.9,131.9,217,-2.15,-0.63,-2239,"{'long': (138, 44.9, 49.8, -4.8), 'short': (79, 51.9, 49.4, 2.5)}"
H4,0.977,55,1.618,1.0,103.7,103.7,227,-2.24,-0.68,-2261,"{'long': (143, 42.7, 49.7, -7.0), 'short': (84, 54.8, 48.9, 5.9)}"
H4,0.977,55,2.058,1.0,131.9,131.9,218,-2.83,-0.84,-2751,"{'long': (140, 44.3, 49.8, -5.5), 'short': (78, 51.3, 49.4, 1.9)}"
